Hospital Provider,Finished Consultant Episodes,Admissions,Male,Female,Emergency,Waiting List,Mean Waiting Time,Median Waiting Time,Mean Length of Stay,Median Length of Stay,Mean Age,Age 0-14,Age 15-59,Age 60-74,Age 75+,Inpatient,Daycase,Beddays
Total (All Welsh Trusts),695616,636527,301066,394203,321665,138685,113,56,8.8,2,50,74371,315107,147294,158580,573791,120615,4047622
RVD - Bro Morgannwg NHS Trust,59027,54350,25225,33802,24891,11547,80,37,7.9,2,52,4954,26796,12891,14380,46756,12271,325484
RWM - Cardiff & Vale NHS Trust,104238,97122,46086,58147,45142,24349,135,55,8.2,2,46,15410,50146,19875,18772,87991,16247,655296
RVA - Carmarthenshire NHS Trust ,44731,41125,20196,24534,18585,12161,99,56,7.6,3,55,2962,19311,11226,11232,32537,12194,217077
RKU - Ceredigion and Mid Wales NHS Trust,12187,11069,5217,6969,5925,2683,111,38,7.3,3,54,1181,4843,2679,3484,10101,2086,65993
RT8 - Conwy and Denbighshire NHS Trust,57880,53354,23499,34370,26424,8553,84,57,6.3,2,52,5372,25065,12307,15132,45660,12174,258162
RVF - Gwent Healthcare NHS Trust ,103372,95884,44220,59093,50066,26520,117,57,12.3,2,49,10516,49696,21161,21997,86199,17173,607789
RT9 - North East Wales NHS Trust,44846,41685,18761,26075,21346,8251,149,70,7.5,3,51,4133,21067,9274,10358,35911,8895,246960
RRS - North Glamorgan NHS Trust,39614,34079,17383,22231,21668,4096,89,49,6.9,2,48,5442,17635,7753,8784,34148,5466,199279
RT7 - North West Wales NHS Trust,54584,48030,23735,30697,25135,9002,87,50,9.2,3,55,4644,22044,12596,15293,46237,7298,297089
RR6 - Pembrokeshire and Derwen NHS Trust,25243,22672,10811,14432,12952,4170,142,72,10.4,3,51,2242,11970,5465,5566,20880,4291,164409
RVE - Pontypridd and Rhondda NHS Trust,47351,41079,20047,27197,20513,9817,113,59,7.7,2,51,5202,20081,10278,11609,40609,6739,265090
6C4 - Powys LHB,10554,10163,4169,6384,6485,1283,75,43,21.4,6,63,460,3337,2112,4642,9656,898,190494
RVC - Swansea NHS Trust,88288,82214,40082,48206,40957,16250,118,66,7.8,2,47,11852,41191,18298,16935,74134,14154,534939
RQF - Velindre NHS Trust,3701,3701,1635,2066,1576,3,-,-,6.6,4,58,1,1925,1379,396,2972,729,19561
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
