,,,,All ages ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All ages 
,,,,Aged 0 to 15 ,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Aged 0 to 15 ,Aged 16 to 64 ,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Aged 16 to 64 ,Aged 65 and over ,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Aged 65 and over ,.
,,,,Aged 0 to 4 ,.,.,.,.,Aged 0 to 4 ,Aged 5 to 15 ,.,.,.,.,.,.,.,.,.,.,Aged 5 to 15 ,.,Aged 16 to 24 ,.,.,.,.,.,.,.,.,Aged 16 to 24 ,Aged 25 to 44 ,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Aged 25 to 44 ,Aged 45 to 64 ,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Aged 45 to 64 ,.,Aged 65 to 74 ,.,.,.,.,.,.,.,.,.,Aged 65 to 74 ,Aged 75 to 84 ,.,.,.,.,.,.,.,.,.,Aged 75 to 84 ,Aged 85 and over ,.,.,.,.,.,Aged 85 and over ,.,.
,,,,Aged 0 ,Aged 1 ,Aged 2 ,Aged 3 ,Aged 4 ,.,Aged 5 ,Aged 6 ,Aged 7 ,Aged 8 ,Aged 9 ,Aged 10 ,Aged 11 ,Aged 12 ,Aged 13 ,Aged 14 ,Aged 15 ,.,.,Aged 16 ,Aged 17 ,Aged 18 ,Aged 19 ,Aged 20 ,Aged 21 ,Aged 22 ,Aged 23 ,Aged 24 ,.,Aged 25 ,Aged 26 ,Aged 27 ,Aged 28 ,Aged 29 ,Aged 30 ,Aged 31 ,Aged 32 ,Aged 33 ,Aged 34 ,Aged 35 ,Aged 36 ,Aged 37 ,Aged 38 ,Aged 39 ,Aged 40 ,Aged 41 ,Aged 42 ,Aged 43 ,Aged 44 ,.,Aged 45 ,Aged 46 ,Aged 47 ,Aged 48 ,Aged 49 ,Aged 50 ,Aged 51 ,Aged 52 ,Aged 53 ,Aged 54 ,Aged 55 ,Aged 56 ,Aged 57 ,Aged 58 ,Aged 59 ,Aged 60 ,Aged 61 ,Aged 62 ,Aged 63 ,Aged 64 ,.,.,Aged 65 ,Aged 66 ,Aged 67 ,Aged 68 ,Aged 69 ,Aged 70 ,Aged 71 ,Aged 72 ,Aged 73 ,Aged 74 ,.,Aged 75 ,Aged 76 ,Aged 77 ,Aged 78 ,Aged 79 ,Aged 80 ,Aged 81 ,Aged 82 ,Aged 83 ,Aged 84 ,.,Aged 85 ,Aged 86 ,Aged 87 ,Aged 88 ,Aged 89 ,Aged 90 and over ,.,.,.
United Kingdom ,Great Britain ,Wales ,,32849,33958,35403,34798,35284,172292,36422,37306,38763,39271,38601,39093,39486,38861,38177,38958,36868,421806,594098,36902,36744,36632,37155,36432,32223,30938,31297,31714,310037,32970,35160,37514,38898,38525,40012,39851,40901,41662,42650,42887,42148,41817,40913,39278,38942,38655,37899,36677,36162,783521,37344,37358,36973,37843,39577,40582,43555,45165,36863,36766,36385,35526,33026,31080,31226,31047,30884,30224,29662,29092,710178,1803736,28091,28016,27657,27880,27396,26463,25385,25741,25922,24864,267415,23862,22875,22988,22480,21159,15444,12998,12857,12039,11511,178213,..,..,..,..,..,..,57137,502765,2900599
,,Wales ,Isle of Anglesey ,717,718,776,784,850,3845,848,861,916,869,884,930,917,917,837,887,870,9736,13581,821,871,786,763,661,569,504,577,705,6257,684,834,840,877,820,850,846,879,868,888,921,913,917,899,891,844,852,889,893,909,17314,916,887,898,917,984,1037,1047,1124,950,1008,930,961,890,830,815,801,841,802,771,744,18153,41724,732,717,671,687,682,705,689,670,634,592,6779,565,546,545,535,500,397,339,330,329,304,4390,..,..,..,..,..,..,1504,12673,67978
,,,Gwynedd ,1266,1347,1414,1337,1395,6759,1457,1436,1488,1446,1407,1434,1486,1400,1360,1393,1393,15700,22459,1406,1397,1470,1905,1932,1570,1464,1392,1249,13785,1361,1425,1442,1474,1441,1453,1392,1409,1474,1581,1537,1484,1512,1526,1476,1447,1455,1376,1418,1354,29037,1445,1430,1386,1385,1494,1654,1759,1809,1534,1500,1582,1483,1421,1307,1315,1354,1311,1284,1226,1224,28903,71725,1230,1208,1229,1235,1230,1224,1116,1150,1116,1042,11780,1008,982,995,968,900,600,536,596,525,481,7591,..,..,..,..,..,..,2807,22178,116362
,,,Conwy ,1167,1158,1199,1180,1173,5877,1130,1210,1303,1348,1319,1315,1300,1281,1337,1393,1302,14238,20115,1268,1289,1219,1005,862,793,859,928,1004,9227,1050,1129,1257,1353,1301,1389,1340,1350,1450,1420,1484,1461,1410,1394,1423,1389,1367,1321,1252,1233,26773,1302,1266,1249,1364,1383,1451,1573,1703,1414,1350,1345,1437,1275,1265,1278,1280,1253,1310,1301,1273,27072,63072,1252,1294,1220,1294,1319,1260,1231,1228,1202,1191,12491,1125,1117,1154,1137,1018,718,673,680,649,676,8947,..,..,..,..,..,..,3697,25135,108322
,,,Denbighshire ,980,1030,1039,1005,1043,5097,1142,1197,1186,1164,1236,1161,1183,1232,1185,1191,1126,13003,18100,1049,1097,1005,903,772,780,775,845,1008,8234,906,1019,1106,1113,1140,1172,1199,1232,1250,1223,1288,1348,1274,1198,1139,1136,1101,1117,1115,1083,23159,1119,1171,1191,1241,1289,1345,1427,1486,1151,1160,1177,1165,1090,1055,1081,1039,1060,1046,996,964,23253,54646,882,908,949,963,965,931,909,927,883,888,9205,909,855,869,842,783,624,526,531,492,475,6906,..,..,..,..,..,..,2652,18763,91509
,,,Flintshire ,1823,1787,1825,1784,1856,9075,1861,1853,2017,2070,1998,1986,2036,1963,1915,2032,1878,21609,30684,1872,1861,1786,1627,1358,1299,1305,1440,1644,14192,1753,1985,2101,2184,2168,2227,2230,2201,2276,2397,2410,2339,2297,2225,2086,2022,1962,1959,1887,1836,42545,1984,1948,1926,2067,2102,2195,2393,2584,2019,1928,1967,1838,1725,1698,1611,1626,1652,1558,1440,1367,37628,94365,1301,1280,1253,1242,1220,1232,1169,1089,1112,995,11893,987,938,931,912,932,621,555,548,531,518,7473,..,..,..,..,..,..,2409,21775,146824
