,,,,All ages ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All ages 
,,,,Aged 0 to 15 ,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Aged 0 to 15 ,Aged 16 to 64 ,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Aged 16 to 64 ,Aged 65 and over ,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Aged 65 and over ,.
,,,,Aged 0 to 4 ,.,.,.,.,Aged 0 to 4 ,Aged 5 to 15 ,.,.,.,.,.,.,.,.,.,.,Aged 5 to 15 ,.,Aged 16 to 24 ,.,.,.,.,.,.,.,.,Aged 16 to 24 ,Aged 25 to 44 ,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Aged 25 to 44 ,Aged 45 to 64 ,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Aged 45 to 64 ,.,Aged 65 to 74 ,.,.,.,.,.,.,.,.,.,Aged 65 to 74 ,Aged 75 to 84 ,.,.,.,.,.,.,.,.,.,Aged 75 to 84 ,Aged 85 and over ,.,.,.,.,.,Aged 85 and over ,.,.
,,,,Aged 0 ,Aged 1 ,Aged 2 ,Aged 3 ,Aged 4 ,.,Aged 5 ,Aged 6 ,Aged 7 ,Aged 8 ,Aged 9 ,Aged 10 ,Aged 11 ,Aged 12 ,Aged 13 ,Aged 14 ,Aged 15 ,.,.,Aged 16 ,Aged 17 ,Aged 18 ,Aged 19 ,Aged 20 ,Aged 21 ,Aged 22 ,Aged 23 ,Aged 24 ,.,Aged 25 ,Aged 26 ,Aged 27 ,Aged 28 ,Aged 29 ,Aged 30 ,Aged 31 ,Aged 32 ,Aged 33 ,Aged 34 ,Aged 35 ,Aged 36 ,Aged 37 ,Aged 38 ,Aged 39 ,Aged 40 ,Aged 41 ,Aged 42 ,Aged 43 ,Aged 44 ,.,Aged 45 ,Aged 46 ,Aged 47 ,Aged 48 ,Aged 49 ,Aged 50 ,Aged 51 ,Aged 52 ,Aged 53 ,Aged 54 ,Aged 55 ,Aged 56 ,Aged 57 ,Aged 58 ,Aged 59 ,Aged 60 ,Aged 61 ,Aged 62 ,Aged 63 ,Aged 64 ,.,.,Aged 65 ,Aged 66 ,Aged 67 ,Aged 68 ,Aged 69 ,Aged 70 ,Aged 71 ,Aged 72 ,Aged 73 ,Aged 74 ,.,Aged 75 ,Aged 76 ,Aged 77 ,Aged 78 ,Aged 79 ,Aged 80 ,Aged 81 ,Aged 82 ,Aged 83 ,Aged 84 ,.,Aged 85 ,Aged 86 ,Aged 87 ,Aged 88 ,Aged 89 ,Aged 90 and over ,.,.,.
United Kingdom ,Great Britain ,Wales ,,33420,32753,32047,31422,31177,160819,32730,33345,34688,35623,37078,36568,36810,38190,38537,39785,40459,403813,564632,39246,39493,39780,40296,40802,40615,38682,37407,36069,352390,36617,36783,33789,31080,31271,31874,33126,34225,36449,39274,40915,40232,42027,41832,43104,43264,44328,44589,43519,43240,771538,42056,40496,40082,39490,38790,37326,36643,37889,37934,37340,38150,39742,40958,43674,45838,36764,36522,36259,34914,32298,773165,1897093,30076,30117,29807,29103,28155,27172,26373,25034,24266,23601,273704,23023,22081,20758,19430,18953,18502,17163,15707,14600,14147,184364,12921,11356,8553,6026,5528,21491,65875,523943,2985668
,,Wales ,Isle of Anglesey ,733,669,727,677,666,3472,709,751,771,756,806,775,852,836,878,905,949,8988,12460,955,975,887,713,605,637,684,655,708,6819,700,779,687,661,640,667,643,693,861,870,939,847,921,884,917,930,944,984,963,902,16432,936,975,930,902,905,936,895,949,898,918,959,1042,1078,1108,1231,1023,1065,1033,990,902,19675,42926,822,820,861,845,780,762,676,656,631,596,7449,588,568,578,531,514,457,424,398,359,329,4746,319,313,237,167,184,587,1807,14002,69388
,,,Gwynedd ,1328,1213,1181,1179,1219,6120,1361,1353,1294,1369,1417,1332,1415,1422,1439,1440,1329,15171,21291,1271,1276,1431,2028,2152,1989,1701,1534,1377,14759,1357,1333,1252,1122,1165,1141,1212,1350,1434,1432,1521,1515,1480,1504,1555,1598,1632,1659,1561,1565,28388,1610,1491,1514,1510,1460,1460,1408,1480,1508,1441,1462,1595,1750,1846,1940,1644,1566,1664,1559,1455,31363,74510,1285,1292,1305,1257,1223,1144,1139,1119,1079,1089,11932,1044,1003,975,918,881,806,782,677,631,620,8337,605,506,380,247,283,979,3000,23269,119070
,,,Conwy ,1103,1064,1112,1013,1053,5345,1081,1152,1237,1224,1336,1272,1337,1340,1376,1456,1578,14389,19734,1528,1493,1408,1041,930,1008,1001,995,1022,10426,1085,1111,1024,920,998,947,1023,1038,1152,1335,1447,1367,1489,1431,1522,1571,1592,1628,1677,1560,25917,1549,1584,1543,1442,1410,1388,1350,1501,1393,1392,1532,1537,1651,1776,1883,1551,1573,1515,1556,1427,30553,66896,1407,1383,1382,1340,1359,1341,1302,1233,1199,1131,13077,1133,1129,1072,997,1014,974,875,812,779,780,9565,717,591,428,367,296,1333,3732,26374,113004
,,,Denbighshire ,1000,1004,922,932,986,4844,1000,1006,1095,1161,1119,1183,1105,1269,1271,1250,1275,12734,17578,1303,1315,1231,995,855,842,860,828,842,9071,872,964,913,865,899,914,967,954,1045,1188,1170,1192,1269,1261,1344,1329,1344,1399,1389,1406,22684,1316,1247,1224,1187,1211,1135,1193,1209,1229,1230,1334,1341,1421,1557,1606,1249,1238,1253,1218,1092,25490,57245,1120,1079,1072,1042,1048,966,921,858,837,830,9773,822,788,726,717,691,627,617,583,551,542,6664,480,437,337,244,216,1009,2723,19160,93983
,,,Flintshire ,1644,1713,1673,1587,1646,8263,1672,1707,1817,1844,1896,1875,1954,1953,1952,2097,2176,20943,29206,2085,2051,2039,1599,1457,1537,1561,1612,1616,15557,1666,1772,1602,1579,1610,1664,1802,1772,1992,2136,2270,2280,2365,2281,2281,2335,2486,2478,2362,2337,41070,2226,2131,2083,1961,1934,1880,1847,1911,1937,1934,2082,2073,2178,2348,2562,1926,1883,1911,1762,1633,40202,96829,1551,1538,1534,1539,1418,1302,1229,1140,1097,1052,13400,1054,966,976,862,789,758,706,661,576,591,7939,515,460,349,262,239,926,2751,24090,150125
