Hospital Provider,Finished Consultant Episodes,Admissions,Male,Female,Emergency,Waiting List,Mean Waiting Time,Median Waiting Time,Mean Length of Stay,Median Length of Stay,Mean Age,Age 0-14,Age 15-59,Age 60-74,Age 75+,Inpatient,Daycase,Beddays
Total (All Welsh Trusts),712307,633611,311456,400826,331931,139138,158,75,8.6,2,51,77337,311933,148736,174263,592912,108634,4658878
RVD - Bro Morgannwg NHS Trust,59721,56056,25485,34236,24065,11685,109,43,10.6,2,53,4029,27414,13132,15144,43369,16352,411617
RWM - Cardiff & Vale NHS Trust,108420,101107,46991,61429,46191,17736,281,142,7.5,2,45,18833,50081,19298,20200,90886,17534,639012
RVA - Carmarthenshire NHS Trust ,41453,38491,19395,22058,18989,13239,104,49,7.7,3,55,2766,17500,10221,10961,31538,9915,219100
RKU - Ceredigion and Mid Wales NHS Trust,12753,11136,5553,7200,6181,2613,137,54,6.9,3,55,1244,4706,2747,4056,10864,1889,63658
RT8 - Conwy and Denbighshire NHS Trust,62528,53841,26943,35585,27255,12991,115,64,6.5,2,54,6089,25055,14503,16870,51208,11320,280209
RVF - Gwent Healthcare NHS Trust ,117560,103300,50056,67494,59229,24867,175,85,9.9,3,52,9923,53225,23927,30485,91101,15849,801352
RT9 - North East Wales NHS Trust,45363,37672,19938,25422,22057,9261,132,69,8.2,3,52,4773,19342,9178,12070,40440,4923,273957
RRS - North Glamorgan NHS Trust,37095,32501,16303,20792,22427,5296,171,98,7.6,2,49,5138,16191,7008,8758,33852,3243,215879
RT7 - North West Wales NHS Trust,52369,43137,23455,28905,24134,6235,98,55,9.9,3,54,5089,20714,11038,15528,44306,8054,550388
RR6 - Pembrokeshire and Derwen NHS Trust,24788,21799,10821,13967,14201,4833,197,109,10.6,3,52,2139,11515,5301,5833,21840,2843,186411
RVE - Pontypridd and Rhondda NHS Trust,46182,38573,19279,26903,18597,10054,119,55,7.8,2,51,5169,20083,9618,11311,40525,5620,258930
6C4 - Powys LHB,7654,7090,3037,4617,4363,1001,99,82,25.1,8,70,-,1949,1568,4137,6724,930,126712
RVC - Swansea NHS Trust,93992,86479,43080,50909,42916,19327,162,80,7.4,2,49,12145,43028,20302,18506,83961,10031,612922
RQF - Velindre NHS Trust,2429,2429,1120,1309,1326,?,?,?,8.2,5,59,-,1130,895,404,2298,131,18731
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
