Hospital Provider,Finished Consultant Episodes,Admissions,Male,Female,Emergency,Waiting List,Mean Waiting Time,Median Waiting Time,Mean Length of Stay,Median Length of Stay,Mean Age,Age 0-14,Age 15-59,Age 60-74,Age 75+,Inpatient,Daycase,Beddays
Total (All Welsh Trusts),719519,629279,314521,404983,330838,144286,156,77,8.2,2,52,76055,312595,151527,179313,600037,109408,4163373
RVD - Bro Morgannwg NHS Trust,62802,57281,27140,35662,24748,17546,103,49,10.4,2,55,4369,27108,14554,16771,44120,18682,386643
RWM - Cardiff & Vale NHS Trust,113574,101680,49044,64527,45278,20066,275,144,8.0,2,46,18616,52534,20179,22245,95091,18483,668696
RVA - Carmarthenshire NHS Trust ,42998,37948,19558,23439,19176,12309,97,54,7.1,3,56,2882,17779,10399,11935,33721,9277,202856
RKU - Ceredigion and Mid Wales NHS Trust,12620,10840,5487,7133,5963,2461,148,69,7.3,3,55,1126,4870,2643,3980,10818,1802,66411
RT8 - Conwy and Denbighshire NHS Trust,63013,49827,27979,35029,26302,12759,107,56,6.6,2,55,5688,24125,14144,19047,53269,9744,273604
RVF - Gwent Healthcare NHS Trust ,116671,101838,49548,67123,59760,23514,179,94,9.3,3,53,9421,52610,24562,30077,90854,15846,716497
RT9 - North East Wales NHS Trust,46039,37581,20132,25907,21906,9619,121,66,7.8,2,52,4688,19515,9479,12356,41074,4965,259292
RRS - North Glamorgan NHS Trust,36848,32921,15985,20863,22587,5886,167,104,7.3,2,48,5162,16141,6970,8573,33152,3696,213705
RT7 - North West Wales NHS Trust,50945,42249,23401,27541,23303,6420,115,66,10.0,3,55,4872,20179,11121,14772,42696,8241,321246
RR6 - Pembrokeshire and Derwen NHS Trust,22751,20061,9852,12899,13337,3921,205,116,9.9,3,52,2180,10280,4651,5640,20575,2082,175024
RVE - Pontypridd and Rhondda NHS Trust,45649,38384,18981,26668,19249,8015,133,68,7.6,2,51,4867,20077,9328,11377,40746,4903,253424
6C4 - Powys LHB,6356,6074,2674,3682,2058,1157,76,56,23.2,9,69,1,1789,1194,3372,5153,1203,109970
RVC - Swansea NHS Trust,96825,90167,43612,53210,45844,20613,158,79,6.5,2,49,12183,44501,21345,18785,86508,10317,497244
RQF - Velindre NHS Trust,2428,2428,1128,1300,1327,?,?,?,8.3,5,60,-,1087,958,383,2260,167,18761
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
