,Admissions,FCE 0-14,FCE 15-59,FCE 60-74,FCE 75+,Beddays,Daycase,Emergency,Female,Finished Consultant Episodes,Inpatient,LHB Provider,Male,Mean Age,Mean Length of Stay,Mean Waiting Time,Period,Waiting List,Year,Population 0-14,Population 15-59,Population 60-74,Population 75+,Population Total,Region
14,137795.0,18029.0,82860.0,41457.0,49817.0,622213.0,40213.0,69731.0,110332.0,192163.0,151950.0,Aneurin Bevan University Local Health Board,81831.0,52.8,6.4,94.5,14,50743.0,2013/2014,101516.0,334665.0,95255.0,47910.0,579346.0,South Wales
8,121380.0,10442.0,60653.0,30035.0,34413.0,668664.0,32983.0,62914.0,77427.0,135543.0,102560.0,Aneurin Bevan University Local Health Board,58105.0,53.0,7.6,80.8,8,47934.0,2007/2008,103975.0,332502.0,85652.0,44485.0,566614.0,South Wales
9,127386.0,11157.0,65115.0,32209.0,36532.0,658082.0,37217.0,64489.0,82320.0,145016.0,107799.0,Aneurin Bevan University Local Health Board,62672.0,53.0,7.699999999999999,70.4,9,49144.0,2008/2009,103561.0,333573.0,88125.0,44767.0,570026.0,South Wales
2,100680.0,9684.0,51678.0,23285.0,27126.0,662437.0,16959.0,55212.0,64360.0,111775.0,84841.0,Aneurin Bevan University Local Health Board,47387.0,52.0,20.4,131.0,2,25237.0,2001/2002,110857.0,323356.0,76834.0,42037.0,553084.0,South Wales
3,101447.0,9572.0,51570.0,23478.0,28529.0,710010.0,15981.0,58330.0,64498.0,113149.0,87346.0,Aneurin Bevan University Local Health Board,48627.0,52.0,10.199999999999998,154.0,3,23942.0,2002/2003,109675.0,325352.0,77393.0,42652.0,555072.0,South Wales
4,103300.0,9923.0,53225.0,23927.0,30485.0,801352.0,15849.0,59229.0,67494.0,117560.0,91101.0,Aneurin Bevan University Local Health Board,50056.0,52.0,9.9,175.0,4,24867.0,2003/2004,108368.0,326976.0,78848.0,42844.0,557036.0,South Wales
1,99788.0,9873.0,52443.0,22888.0,24284.0,732910.0,17936.0,52134.0,62824.0,109496.0,91560.0,Aneurin Bevan University Local Health Board,46550.0,50.0,18.3,132.0,1,28352.0,2000/2001,111831.0,322173.0,76956.0,31803.0,542763.0,South Wales
6,106104.0,10500.0,53504.0,24819.0,31163.0,670110.0,18799.0,63187.0,68614.0,119987.0,92343.0,Aneurin Bevan University Local Health Board,51369.0,53.0,9.2,149.0,6,25277.0,2005/2006,106159.0,329520.0,81626.0,43532.0,560837.0,South Wales
7,109483.0,10484.0,54961.0,26306.0,33309.0,666376.0,20581.0,64199.0,71259.0,125060.0,104478.0,Aneurin Bevan University Local Health Board,53800.0,53.0,7.6,95.5,7,29694.0,2006/2007,104982.0,331890.0,82794.0,44152.0,563818.0,South Wales
5,101838.0,9421.0,52610.0,24562.0,30077.0,716497.0,15846.0,59760.0,67123.0,116671.0,90854.0,Aneurin Bevan University Local Health Board,49548.0,53.0,9.3,179.0,5,23514.0,2004/2005,107345.0,328513.0,80290.0,43116.0,559264.0,South Wales
31,148012.0,18480.0,73601.0,39593.0,41589.0,920175.0,45322.0,65764.0,95219.0,173266.0,127944.0,Betsi Cadwaladr University Local Health Board,78047.0,52.0,8.4,47.0,11,53236.0,2010/2011,114619.0,384888.0,122686.0,63718.0,685911.0,Rest of Wales
39,166324.0,16604.0,70835.0,46408.0,57879.0,697967.0,53004.0,86863.0,106229.0,191726.0,126893.0,Betsi Cadwaladr University Local Health Board,85492.0,56.2,6.8,264.5,19,59695.0,2018/2019,117019.0,376297.0,132534.0,72519.0,698369.0,Rest of Wales
38,159028.0,15639.0,68663.0,44515.0,55247.0,703952.0,49388.0,83537.0,102861.0,184064.0,122667.0,Betsi Cadwaladr University Local Health Board,81202.0,56.2,7.2,111.5,18,57736.0,2017/2018,116428.0,377413.0,131630.0,70813.0,696284.0,Rest of Wales
37,163577.0,15702.0,70488.0,46748.0,56065.0,706518.0,54951.0,80336.0,105326.0,189005.0,122686.0,Betsi Cadwaladr University Local Health Board,83676.0,56.284888,7.155247561,95.34694747,17,63342.0,2016/2017,116036.0,378737.0,130492.0,69561.0,694826.0,Rest of Wales
36,159008.0,15297.0,69423.0,46103.0,55660.0,686799.0,50648.0,78036.0,103910.0,186484.0,128026.0,Betsi Cadwaladr University Local Health Board,82568.0,56.4,7.1,96.7,16,59059.0,2015/2016,115907.0,379661.0,129202.0,68590.0,693360.0,Rest of Wales
35,157479.0,14522.0,68590.0,45406.0,55493.0,692679.0,49987.0,77543.0,101633.0,184014.0,128853.0,Betsi Cadwaladr University Local Health Board,82378.0,56.7,6.8,98.2,15,58277.0,2014/2015,115868.0,380804.0,128288.0,68107.0,693067.0,Rest of Wales
33,152058.0,14387.0,69721.0,43699.0,54341.0,717972.0,47645.0,70646.0,101578.0,182149.0,129250.0,Betsi Cadwaladr University Local Health Board,80567.0,56.1,7.3,84.3,13,58131.0,2012/2013,115366.0,382949.0,125796.0,65813.0,689924.0,Rest of Wales
32,156789.0,18102.0,82790.0,44713.0,49004.0,792258.0,46480.0,69858.0,108271.0,194615.0,148135.0,Betsi Cadwaladr University Local Health Board,86338.0,53.0,7.0,87.0,12,60876.0,2011/2012,115213.0,384028.0,124447.0,64729.0,688417.0,Rest of Wales
30,153578.0,17736.0,74815.0,38941.0,40763.0,805254.0,47198.0,67280.0,94526.0,172254.0,124950.0,Betsi Cadwaladr University Local Health Board,77729.0,52.0,7.9,64.5,10,57902.0,2009/2010,114722.0,386108.0,120720.0,63025.0,684575.0,Rest of Wales
34,156584.0,14034.0,71701.0,46485.0,56006.0,681154.0,49336.0,76331.0,104544.0,188229.0,133680.0,Betsi Cadwaladr University Local Health Board,83683.0,56.4,6.7,93.0,14,56677.0,2013/2014,115520.0,382027.0,126935.0,66698.0,691180.0,Rest of Wales
28,148922.0,14445.0,71284.0,43744.0,52266.0,786951.0,40728.0,72419.0,100232.0,181740.0,136186.0,Betsi Cadwaladr University Local Health Board,81495.0,55.428700341146694,7.948898426323318,85.00390833058215,8,55691.0,2007/2008,115392.0,387964.0,114311.0,61818.0,679485.0,Rest of Wales
21,143824.0,13582.0,69275.0,35350.0,41608.0,826241.0,33723.0,71835.0,92160.0,159841.0,124837.0,Betsi Cadwaladr University Local Health Board,67644.0,53.37072465762852,7.963133363780257,124.07186516600872,1,31315.0,2000/2001,121851.0,381499.0,99625.0,42692.0,645667.0,Rest of Wales
22,146530.0,14199.0,71239.0,37201.0,43477.0,859358.0,35071.0,72984.0,94514.0,166138.0,129780.0,Betsi Cadwaladr University Local Health Board,71572.0,53.35406710084388,7.778748991801996,103.36981304698503,2,30597.0,2001/2002,121791.0,383368.0,100535.0,58869.0,664563.0,Rest of Wales
23,134296.0,13742.0,65894.0,35216.0,43162.0,896667.0,24983.0,72734.0,88553.0,158034.0,132925.0,Betsi Cadwaladr University Local Health Board,69395.0,54.022963412936456,8.009254970449398,100.44957414227318,3,27909.0,2002/2003,120880.0,384811.0,101785.0,59391.0,666867.0,Rest of Wales
24,134650.0,15951.0,65111.0,34719.0,44468.0,1104554.0,24297.0,73446.0,89912.0,160260.0,135954.0,Betsi Cadwaladr University Local Health Board,70336.0,53.43388244103332,8.092235741919382,114.25682016722826,4,28487.0,2003/2004,119832.0,385818.0,103871.0,59851.0,669372.0,Rest of Wales
20,143069.0,14149.0,68176.0,34177.0,40783.0,802211.0,28367.0,72905.0,91142.0,157310.0,127808.0,Betsi Cadwaladr University Local Health Board,65995.0,52.755870574025806,7.648349119572818,103.57117792893014,0,25806.0,1999/2000,122375.0,378770.0,98798.0,42548.0,642491.0,Rest of Wales
25,129657.0,15248.0,63819.0,34744.0,46175.0,854142.0,22950.0,71511.0,88477.0,159997.0,137039.0,Betsi Cadwaladr University Local Health Board,71512.0,54.13675256411058,8.027900523134809,113.57578579598368,5,28798.0,2004/2005,118774.0,387235.0,106101.0,60332.0,672442.0,Rest of Wales
