,,,,All ages ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All ages 
,,,,Aged 0 to 15 ,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Aged 0 to 15 ,Aged 16 to 64 ,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Aged 16 to 64 ,Aged 65 and over ,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Aged 65 and over ,.
,,,,Aged 0 to 4 ,.,.,.,.,Aged 0 to 4 ,Aged 5 to 15 ,.,.,.,.,.,.,.,.,.,.,Aged 5 to 15 ,.,Aged 16 to 24 ,.,.,.,.,.,.,.,.,Aged 16 to 24 ,Aged 25 to 44 ,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Aged 25 to 44 ,Aged 45 to 64 ,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Aged 45 to 64 ,.,Aged 65 to 74 ,.,.,.,.,.,.,.,.,.,Aged 65 to 74 ,Aged 75 to 84 ,.,.,.,.,.,.,.,.,.,Aged 75 to 84 ,Aged 85 and over ,.,.,.,.,.,Aged 85 and over ,.,.
,,,,Aged 0 ,Aged 1 ,Aged 2 ,Aged 3 ,Aged 4 ,.,Aged 5 ,Aged 6 ,Aged 7 ,Aged 8 ,Aged 9 ,Aged 10 ,Aged 11 ,Aged 12 ,Aged 13 ,Aged 14 ,Aged 15 ,.,.,Aged 16 ,Aged 17 ,Aged 18 ,Aged 19 ,Aged 20 ,Aged 21 ,Aged 22 ,Aged 23 ,Aged 24 ,.,Aged 25 ,Aged 26 ,Aged 27 ,Aged 28 ,Aged 29 ,Aged 30 ,Aged 31 ,Aged 32 ,Aged 33 ,Aged 34 ,Aged 35 ,Aged 36 ,Aged 37 ,Aged 38 ,Aged 39 ,Aged 40 ,Aged 41 ,Aged 42 ,Aged 43 ,Aged 44 ,.,Aged 45 ,Aged 46 ,Aged 47 ,Aged 48 ,Aged 49 ,Aged 50 ,Aged 51 ,Aged 52 ,Aged 53 ,Aged 54 ,Aged 55 ,Aged 56 ,Aged 57 ,Aged 58 ,Aged 59 ,Aged 60 ,Aged 61 ,Aged 62 ,Aged 63 ,Aged 64 ,.,.,Aged 65 ,Aged 66 ,Aged 67 ,Aged 68 ,Aged 69 ,Aged 70 ,Aged 71 ,Aged 72 ,Aged 73 ,Aged 74 ,.,Aged 75 ,Aged 76 ,Aged 77 ,Aged 78 ,Aged 79 ,Aged 80 ,Aged 81 ,Aged 82 ,Aged 83 ,Aged 84 ,.,Aged 85 ,Aged 86 ,Aged 87 ,Aged 88 ,Aged 89 ,Aged 90 and over ,.,.,.
United Kingdom ,Great Britain ,Wales ,,32495,33853,34194,34641,35526,170709,36796,37551,36924,36400,37125,35797,35370,34128,33174,32660,32626,388551,559260,34042,34987,36567,39625,41594,41365,40637,42517,41713,353047,42011,42618,40850,39989,39021,37689,37313,37457,36096,36527,36100,37352,37399,35378,32856,32889,33129,34445,35602,37853,742574,40491,42595,41329,43249,42767,43909,43833,45156,45182,43969,43736,42422,41005,40516,39901,38823,37256,36357,37344,37175,827015,1922636,36200,36473,37532,38309,40388,42537,32377,31929,31450,29427,356622,26743,24035,23410,22663,21606,20013,18684,17386,15896,14634,205070,13032,11802,10461,8951,7567,29764,81577,643269,3125165
,,Wales ,Isle of Anglesey ,687,730,673,778,816,3684,815,821,803,796,820,744,744,673,715,684,687,8302,11986,705,738,713,547,608,603,664,660,722,5960,741,792,840,788,729,753,678,692,711,692,724,716,767,726,678,630,675,671,750,885,14638,834,997,861,963,918,981,960,1000,1005,1025,944,1028,1055,1022,986,952,1001,933,1015,918,19398,39996,961,977,1051,1086,1106,1192,896,938,915,852,9974,715,621,648,675,622,532,485,473,417,373,5561,367,309,268,250,215,868,2277,17812,69794
,,,Gwynedd ,1121,1226,1168,1260,1292,6067,1404,1350,1381,1423,1368,1428,1446,1276,1204,1211,1262,14753,20820,1273,1317,1415,2213,2542,2265,2085,2125,1900,17135,1667,1706,1612,1527,1356,1349,1213,1214,1120,1217,1276,1264,1265,1195,1086,1082,1111,1202,1349,1465,26276,1468,1555,1544,1514,1570,1617,1655,1693,1664,1682,1672,1680,1548,1574,1622,1571,1510,1410,1478,1513,31540,74951,1483,1487,1529,1661,1690,1795,1462,1338,1403,1322,15170,1144,962,996,971,898,870,767,743,754,672,8777,624,610,514,448,382,1446,4024,27971,123742
,,,Conwy ,1050,1076,1143,1117,1203,5589,1252,1259,1264,1227,1232,1208,1247,1200,1197,1120,1133,13339,18928,1239,1332,1241,975,918,991,1088,1095,1100,9979,1159,1203,1196,1212,1251,1167,1078,1093,1115,1114,1150,1206,1188,1146,1061,1076,1111,1131,1154,1317,23128,1529,1615,1529,1623,1584,1633,1766,1820,1817,1761,1696,1680,1744,1754,1646,1591,1549,1465,1690,1595,33087,66194,1519,1636,1670,1786,1960,2022,1558,1516,1442,1402,16511,1334,1187,1128,1139,1049,1001,992,918,852,791,10391,685,626,613,539,465,1911,4839,31741,116863
,,,Denbighshire ,1000,1010,1051,1077,1073,5211,1060,1178,1145,1110,1195,1085,1102,1057,1009,1021,1044,12006,17217,1089,1059,1093,907,828,882,863,1105,1089,8915,1127,1161,1094,1110,1009,1019,986,857,911,870,884,899,982,967,851,894,1006,1084,1079,1069,19859,1293,1242,1274,1390,1331,1435,1376,1392,1481,1441,1429,1357,1381,1286,1250,1257,1211,1249,1207,1215,26497,55271,1243,1288,1348,1411,1490,1524,1168,1127,1170,1062,12831,912,935,820,780,777,722,650,566,535,494,7191,440,411,353,313,262,870,2649,22671,95159
,,,Flintshire ,1624,1646,1609,1731,1763,8373,1827,1882,1982,1857,2016,1947,1782,1843,1714,1637,1695,20182,28555,1743,1730,1835,1430,1428,1470,1671,1676,1675,14658,1885,2027,1897,1950,1989,1974,1798,1874,1755,1792,1802,1814,1836,1713,1717,1685,1704,1790,1820,2058,36880,2267,2375,2324,2366,2263,2286,2305,2437,2428,2217,2221,2179,2020,2077,1908,1886,1824,1780,1841,1863,42867,94405,1807,1963,1940,1997,2140,2341,1652,1625,1639,1487,18591,1337,1219,1189,1137,1104,997,862,813,710,622,9990,617,517,465,417,342,1256,3614,32195,155155
