,,,,All ages ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All ages 
,,,,Aged 0 to 15 ,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Aged 0 to 15 ,Aged 16 to 64 ,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Aged 16 to 64 ,Aged 65 and over ,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Aged 65 and over ,.
,,,,Aged 0 to 4 ,.,.,.,.,Aged 0 to 4 ,Aged 5 to 15 ,.,.,.,.,.,.,.,.,.,.,Aged 5 to 15 ,.,Aged 16 to 24 ,.,.,.,.,.,.,.,.,Aged 16 to 24 ,Aged 25 to 44 ,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Aged 25 to 44 ,Aged 45 to 64 ,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Aged 45 to 64 ,.,Aged 65 to 74 ,.,.,.,.,.,.,.,.,.,Aged 65 to 74 ,Aged 75 to 84 ,.,.,.,.,.,.,.,.,.,Aged 75 to 84 ,Aged 85 and over ,.,.,.,.,.,Aged 85 and over ,.,.
,,,,Aged 0 ,Aged 1 ,Aged 2 ,Aged 3 ,Aged 4 ,.,Aged 5 ,Aged 6 ,Aged 7 ,Aged 8 ,Aged 9 ,Aged 10 ,Aged 11 ,Aged 12 ,Aged 13 ,Aged 14 ,Aged 15 ,.,.,Aged 16 ,Aged 17 ,Aged 18 ,Aged 19 ,Aged 20 ,Aged 21 ,Aged 22 ,Aged 23 ,Aged 24 ,.,Aged 25 ,Aged 26 ,Aged 27 ,Aged 28 ,Aged 29 ,Aged 30 ,Aged 31 ,Aged 32 ,Aged 33 ,Aged 34 ,Aged 35 ,Aged 36 ,Aged 37 ,Aged 38 ,Aged 39 ,Aged 40 ,Aged 41 ,Aged 42 ,Aged 43 ,Aged 44 ,.,Aged 45 ,Aged 46 ,Aged 47 ,Aged 48 ,Aged 49 ,Aged 50 ,Aged 51 ,Aged 52 ,Aged 53 ,Aged 54 ,Aged 55 ,Aged 56 ,Aged 57 ,Aged 58 ,Aged 59 ,Aged 60 ,Aged 61 ,Aged 62 ,Aged 63 ,Aged 64 ,.,.,Aged 65 ,Aged 66 ,Aged 67 ,Aged 68 ,Aged 69 ,Aged 70 ,Aged 71 ,Aged 72 ,Aged 73 ,Aged 74 ,.,Aged 75 ,Aged 76 ,Aged 77 ,Aged 78 ,Aged 79 ,Aged 80 ,Aged 81 ,Aged 82 ,Aged 83 ,Aged 84 ,.,Aged 85 ,Aged 86 ,Aged 87 ,Aged 88 ,Aged 89 ,Aged 90 and over ,.,.,.
United Kingdom ,Great Britain ,Wales ,,30219,31891,32398,33569,34730,162807,36040,35927,36073,37118,37844,39341,39794,38961,39394,39445,38807,418744,581551,37989,38730,36866,37014,36561,37437,37248,33547,30299,325691,30098,30436,31448,32773,35053,37637,39169,38926,40391,40497,41623,42268,43235,43489,42779,42339,41314,39672,39437,39040,771624,38257,36914,36347,37568,37569,37215,38111,39768,40845,43950,45429,37233,37025,36628,35615,32958,31013,30953,30830,30492,734720,1832035,29739,28838,28211,27049,26582,26170,26047,25339,24289,23035,265299,23081,22898,21719,20504,19495,19483,18527,16876,12560,9918,185061,9513,8656,8010,6915,5707,20129,58930,509290,2922876
,,Wales ,Isle of Anglesey ,640,710,733,732,717,3532,777,775,846,846,853,913,889,874,936,915,918,9542,13074,828,849,821,573,603,623,746,662,639,6344,658,630,637,664,802,842,862,805,836,846,878,884,886,927,906,905,904,922,863,863,16520,895,905,862,908,887,901,949,1023,1061,1083,1182,996,1036,967,990,921,855,832,831,843,18927,41791,799,786,729,707,698,649,639,639,647,640,6933,611,557,512,488,468,458,425,409,325,255,4508,255,225,211,178,161,543,1573,13014,67879
,,,Gwynedd ,1215,1409,1363,1319,1361,6667,1426,1367,1420,1467,1474,1493,1444,1375,1421,1442,1365,15694,22361,1333,1373,1415,1922,1897,1776,1658,1394,1152,13920,1159,1104,1196,1309,1422,1447,1471,1479,1415,1418,1449,1504,1577,1584,1514,1524,1552,1477,1480,1461,28542,1404,1431,1418,1447,1469,1407,1404,1549,1703,1829,1903,1592,1556,1646,1541,1453,1316,1335,1364,1315,30082,72544,1296,1223,1214,1172,1162,1170,1163,1136,1123,1025,11684,1030,998,930,868,823,870,825,712,514,409,7979,450,396,363,320,289,958,2776,22439,117344
,,,Conwy ,988,1043,1095,1181,1190,5497,1256,1221,1246,1222,1289,1383,1457,1439,1428,1400,1376,14717,20214,1354,1450,1242,873,816,967,1019,1007,910,9638,991,914,956,1019,1081,1217,1320,1339,1412,1384,1409,1487,1494,1559,1572,1456,1492,1517,1460,1397,26476,1353,1312,1291,1416,1347,1330,1422,1444,1537,1666,1809,1493,1472,1466,1542,1370,1378,1361,1335,1328,28672,64786,1371,1352,1341,1313,1283,1224,1262,1263,1217,1159,12785,1142,1113,1078,987,996,1026,967,838,586,524,9257,510,491,464,402,358,1357,3582,25624,110624
,,,Denbighshire ,974,964,1011,1049,1114,5112,1069,1109,1071,1194,1223,1250,1205,1294,1257,1226,1287,13185,18297,1226,1207,1103,816,775,823,921,924,895,8690,920,874,964,918,999,1122,1095,1147,1227,1220,1254,1288,1298,1359,1402,1348,1259,1178,1195,1134,23201,1177,1117,1145,1182,1185,1233,1307,1314,1382,1494,1567,1209,1223,1208,1206,1105,1091,1069,1060,1105,24379,56270,1077,1010,972,893,900,911,922,896,867,839,9287,864,781,779,785,758,749,708,647,496,407,6974,406,358,334,318,265,969,2650,18911,93478
,,,Flintshire ,1605,1659,1718,1848,1851,8681,1892,1881,1924,1889,1902,2037,2099,2018,2003,2072,1965,21682,30363,1940,2030,1803,1391,1422,1565,1648,1575,1593,14967,1598,1605,1707,1698,1898,2117,2206,2205,2309,2297,2277,2345,2457,2488,2374,2337,2222,2126,2066,2001,42333,2001,1893,1845,1955,1927,1916,2073,2099,2208,2391,2566,1984,1937,1968,1820,1709,1647,1574,1604,1606,38723,96023,1516,1376,1323,1249,1207,1176,1160,1124,1153,1051,12335,971,970,880,856,788,793,745,709,500,426,7638,400,384,350,304,263,887,2588,22561,148947
