,,,,All ages ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All ages 
,,,,Aged 0 to 15 ,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Aged 0 to 15 ,Aged 16 to 64 ,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Aged 16 to 64 ,Aged 65 and over ,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Aged 65 and over ,.
,,,,Aged 0 to 4 ,.,.,.,.,Aged 0 to 4 ,Aged 5 to 15 ,.,.,.,.,.,.,.,.,.,.,Aged 5 to 15 ,.,Aged 16 to 24 ,.,.,.,.,.,.,.,.,Aged 16 to 24 ,Aged 25 to 44 ,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Aged 25 to 44 ,Aged 45 to 64 ,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Aged 45 to 64 ,.,Aged 65 to 74 ,.,.,.,.,.,.,.,.,.,Aged 65 to 74 ,Aged 75 to 84 ,.,.,.,.,.,.,.,.,.,Aged 75 to 84 ,Aged 85 and over ,.,.,.,.,.,Aged 85 and over ,.,.
,,,,Aged 0 ,Aged 1 ,Aged 2 ,Aged 3 ,Aged 4 ,.,Aged 5 ,Aged 6 ,Aged 7 ,Aged 8 ,Aged 9 ,Aged 10 ,Aged 11 ,Aged 12 ,Aged 13 ,Aged 14 ,Aged 15 ,.,.,Aged 16 ,Aged 17 ,Aged 18 ,Aged 19 ,Aged 20 ,Aged 21 ,Aged 22 ,Aged 23 ,Aged 24 ,.,Aged 25 ,Aged 26 ,Aged 27 ,Aged 28 ,Aged 29 ,Aged 30 ,Aged 31 ,Aged 32 ,Aged 33 ,Aged 34 ,Aged 35 ,Aged 36 ,Aged 37 ,Aged 38 ,Aged 39 ,Aged 40 ,Aged 41 ,Aged 42 ,Aged 43 ,Aged 44 ,.,Aged 45 ,Aged 46 ,Aged 47 ,Aged 48 ,Aged 49 ,Aged 50 ,Aged 51 ,Aged 52 ,Aged 53 ,Aged 54 ,Aged 55 ,Aged 56 ,Aged 57 ,Aged 58 ,Aged 59 ,Aged 60 ,Aged 61 ,Aged 62 ,Aged 63 ,Aged 64 ,.,.,Aged 65 ,Aged 66 ,Aged 67 ,Aged 68 ,Aged 69 ,Aged 70 ,Aged 71 ,Aged 72 ,Aged 73 ,Aged 74 ,.,Aged 75 ,Aged 76 ,Aged 77 ,Aged 78 ,Aged 79 ,Aged 80 ,Aged 81 ,Aged 82 ,Aged 83 ,Aged 84 ,.,Aged 85 ,Aged 86 ,Aged 87 ,Aged 88 ,Aged 89 ,Aged 90 and over ,.,.,.
United Kingdom ,Great Britain ,Wales ,,35602,34306,33933,33152,32354,169347,31665,31562,32991,33684,35042,35915,37475,36775,37028,38593,38834,389564,558911,40115,40869,39992,42049,42616,40810,40423,40302,38196,365372,37220,36320,36975,37473,34791,32097,32143,32604,33933,35119,37192,39997,41818,40947,42802,42435,43563,43560,44623,44946,770558,43808,43498,42293,40801,40337,39697,38968,37487,36795,38047,37985,37319,38063,39521,40756,43461,45763,36220,35965,35841,792625,1928555,34322,31693,29389,29271,28833,28244,27049,26034,25182,23798,283815,22991,22115,21291,20225,18820,17503,16820,16120,14752,13348,183985,12053,11467,10232,8732,6820,21297,70601,538401,3025867
,,Wales ,Isle of Anglesey ,774,716,731,676,728,3625,680,672,702,752,767,756,821,772,834,821,867,8444,12069,895,963,936,804,689,706,659,727,739,7118,698,731,705,791,705,691,641,688,655,704,849,882,956,847,946,906,948,937,957,984,16221,964,901,949,972,954,922,899,948,908,950,910,918,978,1056,1089,1111,1249,999,1071,1030,19778,43117,985,896,799,816,851,832,747,711,660,633,7930,612,561,550,525,526,494,472,399,372,338,4849,299,288,275,247,193,649,1951,14730,69916
,,,Gwynedd ,1254,1309,1351,1215,1180,6309,1187,1230,1315,1343,1291,1366,1412,1316,1428,1433,1410,14731,21040,1392,1267,1354,1925,2158,1993,1750,1560,1405,14804,1364,1329,1341,1301,1257,1130,1145,1143,1220,1343,1456,1466,1552,1576,1518,1548,1585,1624,1641,1660,28199,1605,1589,1641,1506,1519,1533,1501,1486,1424,1490,1504,1462,1481,1578,1784,1834,1959,1642,1524,1662,31724,74727,1534,1410,1249,1241,1257,1212,1179,1090,1078,1072,12322,1023,1031,984,929,885,841,786,724,707,590,8500,535,488,509,374,319,932,3157,23979,119746
,,,Conwy ,1156,1133,1135,1078,1101,5603,1027,1074,1105,1187,1244,1255,1350,1315,1379,1383,1399,13718,19321,1486,1618,1448,1167,1062,1011,1034,1117,1082,11025,1023,1068,1093,1132,1053,949,1007,1007,1055,1101,1188,1402,1498,1432,1500,1476,1542,1633,1630,1691,25480,1674,1573,1589,1635,1596,1481,1448,1409,1367,1553,1440,1412,1562,1549,1687,1827,1932,1597,1581,1531,31443,67948,1565,1463,1379,1357,1354,1298,1317,1317,1266,1183,13499,1159,1097,1068,1072,1005,930,934,855,766,710,9596,656,651,602,466,358,1274,4007,27102,114371
,,,Denbighshire ,1109,1015,1010,1018,950,5102,954,982,1018,1002,1107,1147,1135,1209,1121,1295,1319,12289,17391,1293,1314,1293,1091,964,965,935,935,938,9728,876,882,866,1019,914,889,911,930,994,995,1063,1243,1212,1230,1320,1258,1377,1319,1375,1432,22105,1405,1441,1319,1263,1233,1186,1210,1155,1199,1206,1231,1234,1319,1344,1416,1574,1614,1235,1232,1288,26104,57937,1213,1072,1107,1055,1041,1011,998,933,876,814,10120,804,789,750,716,657,641,610,539,511,502,6519,450,421,367,323,262,949,2772,19411,94739
,,,Flintshire ,1830,1761,1683,1755,1672,8701,1609,1660,1692,1697,1825,1847,1898,1866,1990,1994,1954,20032,28733,2118,2188,2046,1712,1611,1673,1693,1751,1650,16442,1699,1702,1688,1827,1660,1602,1617,1684,1816,1838,1992,2182,2270,2307,2354,2296,2315,2323,2444,2481,40097,2329,2317,2231,2103,2099,1951,1937,1864,1850,1919,1930,1915,2075,2052,2155,2309,2526,1871,1817,1883,41133,97672,1721,1598,1504,1486,1457,1484,1357,1235,1158,1083,14083,1037,994,965,878,883,776,686,654,610,569,8052,493,482,421,358,268,939,2961,25096,151501
