Hospital Provider,Finished Consultant Episodes,Admissions,Male,Female,Emergency,Waiting List,Mean Waiting Time,Median Waiting Time,Mean Length of Stay,Median Length of Stay,Mean Age,Age 0-14,Age 15-59,Age 60-74,Age 75+,Inpatient,Daycase,Beddays
Total (All Welsh Trusts),712245,648079,308959,403101,323029,152453,132,62,9.7,3,50,76737,322883,149221,163035,579279,131565,4149986
RVD - Bro Morgannwg NHS Trust,58858,53811,25234,33624,24327,11134,86,40,8.1,2,53,4869,26498,12633,14856,46342,12516,319405
RWM - Cardiff & Vale NHS Trust,108055,101243,47677,60375,46056,24284,150,61,7.9,2,44,18762,50890,19135,19236,91141,16914,669122
RVA - Carmarthenshire NHS Trust ,43694,40090,19552,24142,18124,11977,116,51,7.9,3,55,2749,18911,10930,11103,31661,12033,223173
RKU - Ceredigion and Mid Wales NHS Trust,13786,12393,5925,7861,6088,3849,161,84,6.3,2,54,1243,5560,3161,3821,11018,2768,60843
RT8 - Conwy and Denbighshire NHS Trust,59762,54970,24560,35181,26513,13248,85,45,6.5,2,53,5023,25822,13686,15222,45979,13783,265502
RVF - Gwent Healthcare NHS Trust ,109496,99788,46550,62824,52134,28352,132,60,18.3,3,50,9873,52443,22888,24284,91560,17936,732910
RT9 - North East Wales NHS Trust,46967,42450,19789,27170,21561,9194,175,87,8.2,3,52,4217,21728,9672,11339,37464,9492,270564
RRS - North Glamorgan NHS Trust,39067,33366,17086,21981,22230,5018,116,76,7.4,2,48,5239,17921,7409,8495,33959,5108,210675
RT7 - North West Wales NHS Trust,53112,46404,23295,29809,23761,8873,123,68,9.4,3,55,4342,21725,11992,15047,41394,10448,290175
RR6 - Pembrokeshire and Derwen NHS Trust,26433,23635,11512,14921,13184,4918,191,86,12.2,3,51,2169,12795,5722,5746,21457,4880,205094
RVE - Pontypridd and Rhondda NHS Trust,47900,41696,20415,27462,18804,10851,129,76,7.3,2,50,5328,21062,9954,11277,39221,8655,239655
6C4 - Powys LHB,10159,9704,4052,6107,6092,1340,91,54,15.7,6,63,439,3109,2086,4525,9152,1007,131810
RVC - Swansea NHS Trust,91520,85093,41813,49707,42512,19413,148,77,7.8,2,47,12484,42693,18638,17689,76276,15244,512326
RQF - Velindre NHS Trust,3436,3436,1499,1937,1643,2,-,-,7.1,4,58,-,1726,1315,395,2655,781,18732
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
