,,,,All ages ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All ages 
,,,,Aged 0 to 15 ,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Aged 0 to 15 ,Aged 16 to 64 ,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Aged 16 to 64 ,Aged 65 and over ,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Aged 65 and over ,.
,,,,Aged 0 to 4 ,.,.,.,.,Aged 0 to 4 ,Aged 5 to 15 ,.,.,.,.,.,.,.,.,.,.,Aged 5 to 15 ,.,Aged 16 to 24 ,.,.,.,.,.,.,.,.,Aged 16 to 24 ,Aged 25 to 44 ,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Aged 25 to 44 ,Aged 45 to 64 ,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Aged 45 to 64 ,.,Aged 65 to 74 ,.,.,.,.,.,.,.,.,.,Aged 65 to 74 ,Aged 75 to 84 ,.,.,.,.,.,.,.,.,.,Aged 75 to 84 ,Aged 85 and over ,.,.,.,.,.,Aged 85 and over ,.,.
,,,,Aged 0 ,Aged 1 ,Aged 2 ,Aged 3 ,Aged 4 ,.,Aged 5 ,Aged 6 ,Aged 7 ,Aged 8 ,Aged 9 ,Aged 10 ,Aged 11 ,Aged 12 ,Aged 13 ,Aged 14 ,Aged 15 ,.,.,Aged 16 ,Aged 17 ,Aged 18 ,Aged 19 ,Aged 20 ,Aged 21 ,Aged 22 ,Aged 23 ,Aged 24 ,.,Aged 25 ,Aged 26 ,Aged 27 ,Aged 28 ,Aged 29 ,Aged 30 ,Aged 31 ,Aged 32 ,Aged 33 ,Aged 34 ,Aged 35 ,Aged 36 ,Aged 37 ,Aged 38 ,Aged 39 ,Aged 40 ,Aged 41 ,Aged 42 ,Aged 43 ,Aged 44 ,.,Aged 45 ,Aged 46 ,Aged 47 ,Aged 48 ,Aged 49 ,Aged 50 ,Aged 51 ,Aged 52 ,Aged 53 ,Aged 54 ,Aged 55 ,Aged 56 ,Aged 57 ,Aged 58 ,Aged 59 ,Aged 60 ,Aged 61 ,Aged 62 ,Aged 63 ,Aged 64 ,.,.,Aged 65 ,Aged 66 ,Aged 67 ,Aged 68 ,Aged 69 ,Aged 70 ,Aged 71 ,Aged 72 ,Aged 73 ,Aged 74 ,.,Aged 75 ,Aged 76 ,Aged 77 ,Aged 78 ,Aged 79 ,Aged 80 ,Aged 81 ,Aged 82 ,Aged 83 ,Aged 84 ,.,Aged 85 ,Aged 86 ,Aged 87 ,Aged 88 ,Aged 89 ,Aged 90 and over ,.,.,.
United Kingdom ,Great Britain ,Wales ,,31683,33015,34212,35593,35211,169714,35581,36619,37496,38959,39480,38713,39281,39503,38942,38195,38887,421656,591370,36830,36660,35773,36325,39122,35636,31481,30525,30760,313112,31553,32751,34996,37559,38892,38617,40126,40038,41152,41908,42874,43074,42362,41980,41026,39352,39105,38857,38078,36764,781064,36177,37416,37465,37042,37902,39662,40710,43690,45214,37083,36881,36380,35566,33012,31044,31139,31046,30798,30115,29401,717743,1811919,28865,27783,27574,27126,27255,26694,25730,24556,24920,24913,265416,23849,22784,21759,21788,21183,19679,14474,11985,11681,10811,179993,..,..,..,..,..,..,58172,503581,2906870
,,Wales ,Isle of Anglesey ,712,730,709,784,777,3712,856,852,851,907,873,876,924,915,917,833,881,9685,13397,857,807,781,664,738,632,608,565,653,6305,662,656,824,838,861,804,844,869,875,876,899,914,931,907,889,896,839,863,883,894,17024,883,913,875,898,922,997,1056,1063,1129,967,1019,926,969,905,833,812,814,837,809,775,18402,41731,735,739,723,668,668,661,686,672,654,618,6824,558,534,528,513,497,465,379,316,304,301,4395,..,..,..,..,..,..,1551,12770,67898
,,,Gwynedd ,1306,1272,1365,1413,1360,6716,1411,1466,1464,1503,1451,1406,1442,1471,1392,1368,1386,15760,22476,1368,1400,1425,1832,2033,1771,1375,1302,1241,13747,1205,1331,1435,1450,1455,1460,1454,1407,1429,1463,1576,1550,1500,1510,1527,1446,1451,1455,1387,1434,28925,1369,1455,1441,1397,1389,1519,1671,1793,1823,1568,1505,1608,1521,1442,1299,1328,1372,1324,1302,1242,29368,72040,1220,1205,1189,1196,1206,1200,1209,1089,1110,1077,11701,1008,973,916,951,915,836,572,489,543,476,7679,..,..,..,..,..,..,2803,22183,116699
,,,Conwy ,1055,1158,1164,1195,1189,5761,1187,1156,1232,1319,1396,1347,1344,1327,1325,1329,1402,14364,20125,1315,1231,1185,903,947,900,871,920,895,9167,981,1014,1107,1230,1300,1302,1385,1327,1369,1455,1431,1507,1486,1410,1416,1453,1411,1374,1323,1270,26551,1260,1342,1299,1272,1373,1388,1485,1579,1761,1448,1406,1379,1480,1294,1295,1324,1297,1294,1344,1323,27643,63361,1324,1291,1302,1216,1285,1290,1240,1207,1198,1175,12528,1147,1069,1072,1119,1078,955,675,620,621,566,8922,..,..,..,..,..,..,3715,25165,108651
,,,Denbighshire ,947,993,1059,1070,1055,5124,1057,1147,1224,1235,1198,1283,1199,1206,1243,1227,1213,13232,18356,1131,1068,1063,842,880,820,823,863,860,8350,973,887,1006,1108,1125,1142,1193,1221,1251,1275,1260,1334,1365,1295,1215,1165,1138,1134,1146,1121,23354,1109,1148,1197,1213,1276,1286,1351,1450,1502,1177,1178,1195,1173,1104,1052,1087,1038,1074,1061,1016,23687,55391,985,899,910,935,959,955,916,882,917,852,9210,856,863,827,838,795,731,577,491,481,444,6903,..,..,..,..,..,..,2665,18778,92525
,,,Flintshire ,1655,1840,1827,1853,1828,9003,1880,1881,1874,2019,2074,2003,1997,2051,1969,1940,2041,21729,30732,1910,1863,1780,1565,1573,1442,1453,1457,1516,14559,1651,1758,1931,2118,2192,2205,2262,2271,2235,2318,2408,2457,2340,2317,2250,2111,2055,1991,1999,1893,42762,1830,1973,1937,1930,2073,2117,2207,2371,2579,2001,1938,1938,1838,1717,1695,1597,1628,1632,1525,1421,37947,95268,1366,1276,1245,1237,1214,1187,1205,1134,1047,1070,11981,961,950,880,882,863,861,591,517,489,469,7463,..,..,..,..,..,..,2486,21930,147930
