,,,Wrexham ,1468,1458,1494,1505,1511,7436,1529,1506,1603,1664,1682,1688,1690,1600,1676,1614,1853,18105,25541,1645,1621,1645,1618,1672,1492,1329,1340,1352,13714,1412,1487,1711,1866,1953,1924,1872,1840,1921,1901,1910,1947,1943,1847,1775,1740,1707,1748,1730,1676,35910,1618,1718,1787,1772,1682,1778,1884,2027,1992,1716,1626,1580,1571,1465,1368,1296,1309,1313,1238,1222,31962,81586,1146,1114,1113,1105,1083,1064,1042,1061,1014,985,10727,958,913,894,898,850,796,591,489,485,456,7330,..,..,..,..,..,..,2469,20526,127653
,,,Powys ,1217,1318,1374,1429,1493,6831,1478,1570,1554,1675,1702,1620,1629,1653,1584,1540,1692,17697,24528,1557,1549,1419,1091,998,924,996,1034,1049,10617,1206,1238,1274,1481,1493,1489,1648,1543,1622,1767,1791,1763,1843,1785,1712,1679,1694,1598,1672,1621,31919,1664,1775,1740,1718,1772,1923,1943,2031,2080,1758,1850,1863,1742,1598,1431,1491,1462,1412,1420,1398,34071,76607,1385,1347,1377,1367,1340,1360,1239,1162,1232,1289,13098,1265,1130,1110,1007,1028,942,699,611,584,556,8932,..,..,..,..,..,..,2969,24999,126134
,,,Ceredigion ,636,675,707,703,766,3487,792,814,856,900,860,840,875,859,842,861,865,9364,12851,850,864,1092,2076,2308,1873,1159,943,824,11989,688,683,543,755,792,802,822,856,857,899,922,932,912,914,943,873,966,953,905,927,16944,944,928,1018,932,960,1055,1087,1198,1260,1009,1035,1032,918,873,844,877,876,837,842,794,19319,48252,784,756,759,732,696,695,690,691,678,737,7218,649,651,597,639,540,535,423,320,321,267,4942,..,..,..,..,..,..,1679,13839,74942
,,,Pembrokeshire ,1227,1321,1348,1372,1396,6664,1427,1495,1533,1569,1577,1487,1530,1510,1482,1440,1458,16508,23172,1414,1476,1448,1106,1047,1036,938,946,865,10276,994,1106,1158,1284,1214,1239,1355,1274,1437,1477,1524,1495,1605,1537,1580,1508,1483,1440,1416,1403,27529,1459,1435,1481,1484,1570,1701,1689,1805,1836,1554,1603,1586,1505,1426,1405,1395,1398,1385,1292,1300,30309,68114,1286,1236,1272,1160,1199,1153,1128,1061,1077,988,11560,1007,915,924,869,870,816,574,456,539,484,7454,..,..,..,..,..,..,2238,21252,112538
,,,Carmarthenshire ,1732,1786,1833,2032,2108,9491,2031,2082,2093,2188,2175,2134,2200,2313,2281,2293,2299,24089,33580,2204,2171,2027,1821,1882,1795,1659,1518,1658,16735,1667,1696,1837,2071,2003,2066,2053,2194,2241,2283,2331,2399,2332,2419,2341,2234,2339,2237,2301,2288,43332,2254,2327,2276,2256,2328,2415,2555,2825,2767,2380,2395,2399,2394,2168,1996,1954,1969,1939,2029,1823,45449,105516,1890,1806,1825,1792,1722,1750,1757,1682,1648,1735,17607,1576,1538,1528,1495,1457,1256,1000,818,813,740,12221,..,..,..,..,..,..,3950,33778,172874
,,,Swansea ,2400,2361,2454,2572,2497,12284,2470,2592,2625,2802,2824,2796,2884,2845,2859,2914,2942,30553,42837,2760,2815,2930,3323,3869,3714,3135,2736,2594,27876,2442,2460,2510,2707,2825,2831,2968,2927,3012,3097,3242,3204,3131,3051,3120,3106,2998,3162,3058,2758,58609,2750,2912,2740,2738,2818,3025,3061,3365,3492,2762,2747,2697,2649,2427,2310,2350,2376,2401,2379,2320,54319,140804,2253,2208,2265,2245,2228,2240,2022,1963,1986,2005,21415,1872,1786,1726,1741,1701,1590,1277,1019,994,926,14632,..,..,..,..,..,..,4787,40834,224475
,,,Neath Port Talbot ,1364,1412,1491,1568,1601,7436,1546,1614,1767,1763,1772,1762,1768,1819,1782,1851,1821,19265,26701,1751,1751,1639,1381,1497,1297,1212,1242,1350,13120,1439,1436,1534,1601,1712,1709,1812,1802,1909,1958,2033,2031,1998,1954,2010,1973,1999,1949,1857,1774,36490,1723,1796,1827,1805,1812,1857,1870,2041,2115,1704,1672,1719,1662,1538,1449,1454,1446,1471,1462,1406,33829,83439,1388,1325,1259,1297,1326,1323,1256,1255,1247,1214,12890,1206,1137,1087,1102,1069,978,753,579,568,537,9016,..,..,..,..,..,..,2788,24694,134834
,,,Bridgend ,1432,1464,1528,1640,1528,7592,1538,1629,1615,1704,1773,1741,1770,1821,1754,1734,1727,18806,26398,1611,1528,1469,1300,1389,1180,1131,1271,1289,12168,1432,1560,1712,1802,1880,1823,1917,1830,1988,1916,2083,2019,1938,2016,1951,1851,1812,1811,1695,1673,36709,1572,1592,1701,1656,1650,1730,1792,1912,1997,1641,1599,1651,1557,1470,1422,1409,1401,1383,1330,1309,31774,80651,1296,1181,1202,1187,1158,1131,1115,1005,1012,1031,11318,984,968,900,959,885,805,604,527,469,441,7542,..,..,..,..,..,..,2315,21175,128224
,,,Vale of Glamorgan ,1348,1440,1541,1555,1524,7408,1561,1587,1624,1656,1680,1700,1732,1708,1738,1684,1622,18292,25700,1648,1622,1511,1241,1148,1132,968,1079,1078,11427,1194,1303,1259,1392,1417,1440,1554,1700,1667,1668,1718,1792,1822,1855,1801,1702,1676,1690,1675,1701,32026,1639,1622,1639,1603,1610,1638,1682,1865,2017,1557,1555,1493,1448,1388,1262,1296,1273,1211,1206,1137,30141,73594,1111,1072,1037,1028,1086,1035,1041,948,972,1011,10341,1003,897,873,837,883,782,583,499,464,509,7330,..,..,..,..,..,..,2311,19982,119276
,,,Cardiff ,3623,3841,3911,3980,4006,19361,3878,4037,4131,4187,4226,4106,4209,4221,4186,3902,3909,44992,64353,3721,4031,4256,6158,7047,6515,5477,5205,4959,47369,4567,4480,4439,4565,4901,4839,4905,4839,4811,4835,4893,4818,4628,4673,4464,4148,4136,4119,4000,3831,90891,3732,3712,3627,3578,3593,3737,3581,3810,3959,3099,3094,2926,2893,2664,2536,2572,2582,2611,2529,2527,63362,201622,2509,2425,2361,2440,2439,2351,2265,2188,2233,2268,23479,2191,2167,2093,2038,2045,1810,1264,1026,1056,943,16633,..,..,..,..,..,..,5356,45468,311443
,,,Rhondda Cynon Taf ,2622,2737,2858,2978,2839,14034,2919,2956,3044,3123,3301,3202,3295,3286,3261,3139,3186,34712,48746,2988,3058,2861,3151,3369,3061,2827,2560,2673,26548,2638,2743,3233,3243,3273,3155,3318,3315,3347,3390,3519,3522,3339,3360,3258,3035,3064,3140,2943,2799,63634,2823,2895,2940,2954,3008,3063,3225,3500,3525,2982,2868,2803,2751,2569,2380,2423,2410,2393,2239,2234,55985,146167,2269,2154,2118,2026,2095,2024,1887,1757,1854,1927,20111,1892,1766,1642,1641,1612,1543,1063,838,797,738,13532,..,..,..,..,..,..,3814,37457,232370
,,,Merthyr Tydfil ,633,652,646,739,702,3372,723,770,800,813,805,846,853,813,831,830,867,8951,12323,798,744,710,665,640,544,498,477,526,5602,595,617,662,757,798,771,814,812,883,870,896,894,806,853,814,787,814,800,721,694,15658,673,723,716,743,771,793,789,814,772,674,689,672,639,608,578,623,618,608,563,559,13625,34885,535,525,539,503,511,472,473,430,463,442,4893,461,427,384,397,383,381,258,198,186,189,3264,..,..,..,..,..,..,853,9010,56218
,,,Caerphilly ,2042,2109,2103,2251,2173,10678,2187,2274,2324,2448,2439,2374,2435,2508,2411,2337,2339,26076,36754,2285,2244,1992,1861,1999,1792,1659,1676,1771,17279,1911,2185,2366,2472,2478,2447,2531,2549,2576,2568,2525,2582,2537,2519,2413,2338,2244,2192,2297,2166,47896,2142,2211,2217,2158,2240,2376,2373,2531,2591,2128,2159,2073,2007,1916,1766,1769,1777,1742,1663,1626,41465,106640,1617,1592,1518,1451,1454,1343,1332,1250,1302,1332,14191,1238,1207,1059,1104,1033,957,713,605,561,532,9009,..,..,..,..,..,..,2451,25651,169045
,,,Blaenau Gwent ,773,789,833,833,889,4117,912,957,1024,1045,1061,1062,1006,1019,1045,1000,1031,11162,15279,886,897,820,741,755,732,638,608,736,6813,799,777,885,919,985,1013,1019,975,1092,1112,1103,1078,1064,1050,976,889,945,911,883,843,19318,793,831,876,840,908,952,988,1012,1097,923,888,874,940,869,773,789,755,719,722,734,17283,43414,728,646,649,622,631,631,586,551,572,585,6201,572,527,538,504,486,483,368,321,259,234,4292,..,..,..,..,..,..,1351,11844,70537
,,,Torfaen ,989,1045,1149,1208,1171,5562,1255,1260,1267,1321,1328,1306,1343,1311,1265,1303,1305,14264,19826,1254,1123,1078,925,1055,888,810,865,840,8838,951,1026,1103,1155,1229,1211,1267,1271,1310,1369,1402,1378,1396,1435,1352,1281,1240,1260,1186,1172,24994,1151,1218,1214,1237,1220,1271,1270,1346,1403,1140,1200,1150,1087,1007,968,937,912,898,863,932,22424,56256,866,889,879,883,862,842,782,737,794,772,8306,751,729,651,678,629,557,430,360,329,295,5409,..,..,..,..,..,..,1417,15132,91214
,,,Monmouthshire ,832,831,926,1024,964,4577,1087,1098,1064,1167,1177,1141,1163,1191,1092,1054,1122,12356,16933,1072,1080,989,693,671,628,631,654,681,7099,724,792,838,930,1012,995,1040,1106,1150,1259,1299,1308,1334,1247,1223,1175,1152,1168,1231,1125,22108,1138,1199,1245,1208,1236,1310,1289,1402,1497,1223,1231,1205,1223,1075,1044,945,949,929,938,945,23231,52438,898,849,848,789,836,822,722,764,747,759,8034,701,678,597,642,614,592,421,381,340,298,5264,..,..,..,..,..,..,1789,15087,84458
,,,Newport ,1670,1783,1892,1889,1834,9068,1857,1876,1927,1951,2106,1993,1993,2056,2007,2002,1926,21694,30762,1805,1717,1653,1368,1605,1468,1284,1264,1350,13514,1422,1516,1629,1815,1994,1950,2093,2110,2170,2152,2109,2150,2112,2026,1996,1962,1942,1862,1770,1701,38481,1651,1691,1672,1650,1691,1731,1862,1950,2020,1672,1624,1611,1599,1489,1338,1411,1384,1385,1359,1358,32148,84143,1274,1248,1184,1247,1257,1165,1137,1067,1163,1041,11783,993,959,933,934,950,1008,659,505,478,410,7829,..,..,..,..,..,..,2415,22027,136932
