,,,,All ages ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All ages 
,,,,Aged 0 to 15 ,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Aged 0 to 15 ,Aged 16 to 64 ,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Aged 16 to 64 ,Aged 65 and over ,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Aged 65 and over ,.
,,,,Aged 0 to 4 ,.,.,.,.,Aged 0 to 4 ,Aged 5 to 15 ,.,.,.,.,.,.,.,.,.,.,Aged 5 to 15 ,.,Aged 16 to 24 ,.,.,.,.,.,.,.,.,Aged 16 to 24 ,Aged 25 to 44 ,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Aged 25 to 44 ,Aged 45 to 64 ,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Aged 45 to 64 ,.,Aged 65 to 74 ,.,.,.,.,.,.,.,.,.,Aged 65 to 74 ,Aged 75 to 84 ,.,.,.,.,.,.,.,.,.,Aged 75 to 84 ,Aged 85 and over ,.,.,.,.,.,Aged 85 and over ,.,.
,,,,Aged 0 ,Aged 1 ,Aged 2 ,Aged 3 ,Aged 4 ,.,Aged 5 ,Aged 6 ,Aged 7 ,Aged 8 ,Aged 9 ,Aged 10 ,Aged 11 ,Aged 12 ,Aged 13 ,Aged 14 ,Aged 15 ,.,.,Aged 16 ,Aged 17 ,Aged 18 ,Aged 19 ,Aged 20 ,Aged 21 ,Aged 22 ,Aged 23 ,Aged 24 ,.,Aged 25 ,Aged 26 ,Aged 27 ,Aged 28 ,Aged 29 ,Aged 30 ,Aged 31 ,Aged 32 ,Aged 33 ,Aged 34 ,Aged 35 ,Aged 36 ,Aged 37 ,Aged 38 ,Aged 39 ,Aged 40 ,Aged 41 ,Aged 42 ,Aged 43 ,Aged 44 ,.,Aged 45 ,Aged 46 ,Aged 47 ,Aged 48 ,Aged 49 ,Aged 50 ,Aged 51 ,Aged 52 ,Aged 53 ,Aged 54 ,Aged 55 ,Aged 56 ,Aged 57 ,Aged 58 ,Aged 59 ,Aged 60 ,Aged 61 ,Aged 62 ,Aged 63 ,Aged 64 ,.,.,Aged 65 ,Aged 66 ,Aged 67 ,Aged 68 ,Aged 69 ,Aged 70 ,Aged 71 ,Aged 72 ,Aged 73 ,Aged 74 ,.,Aged 75 ,Aged 76 ,Aged 77 ,Aged 78 ,Aged 79 ,Aged 80 ,Aged 81 ,Aged 82 ,Aged 83 ,Aged 84 ,.,Aged 85 ,Aged 86 ,Aged 87 ,Aged 88 ,Aged 89 ,Aged 90 and over ,.,.,.
United Kingdom ,Great Britain ,Wales ,,34396,35826,36766,36079,35710,178777,36457,35170,34727,33582,32652,31987,32046,33389,34322,35636,36420,376388,555165,37990,37056,37860,42615,44425,44830,44953,42622,41150,373501,39734,38090,37550,37408,36037,36374,35881,36854,37241,35167,32440,32702,32989,34258,35380,37635,40192,42282,41029,43122,742365,42531,43776,43542,44788,45003,43711,43544,42349,40960,40329,39724,38806,37315,36548,37754,37732,36783,37346,38631,39579,810751,1926617,42031,44519,34367,34120,33960,32002,29410,26795,26384,25905,329493,25147,23513,22515,21369,19858,18840,17534,16375,15120,13568,193839,12190,11084,9992,8742,7486,27804,77298,600630,3082412
,,Wales ,Isle of Anglesey ,802,808,827,788,786,4011,816,732,742,678,729,695,682,702,753,752,759,8040,12051,804,770,779,643,645,671,785,850,812,6759,807,791,706,711,719,720,728,725,776,744,673,622,680,682,724,874,842,992,876,961,15353,903,941,945,970,1000,985,926,980,988,990,939,921,974,913,975,909,941,996,1060,1073,19329,41441,1103,1244,948,1020,988,916,784,720,732,784,9239,728,636,600,583,532,490,439,436,393,382,5219,331,349,249,217,200,777,2123,16581,70073
,,,Gwynedd ,1249,1403,1313,1347,1375,6687,1336,1414,1403,1252,1189,1204,1256,1265,1315,1264,1345,14243,20930,1405,1242,1539,2358,2478,2280,2133,1818,1626,16879,1424,1376,1240,1227,1146,1248,1240,1264,1278,1168,1086,1124,1127,1196,1322,1467,1442,1543,1545,1518,25981,1538,1587,1654,1645,1636,1640,1596,1631,1509,1540,1603,1538,1494,1402,1486,1469,1488,1464,1544,1731,31195,74055,1764,1887,1581,1435,1560,1444,1294,1094,1103,1110,14272,1073,1034,940,921,911,848,826,772,705,659,8689,606,518,482,427,357,1317,3707,26668,121653
,,,Conwy ,1127,1183,1177,1199,1190,5876,1174,1175,1195,1154,1138,1069,1089,1193,1262,1301,1333,13083,18959,1431,1397,1398,1083,1004,1116,1185,1198,1263,11075,1283,1186,1105,1099,1100,1028,1106,1152,1155,1084,1004,1017,1073,1078,1138,1260,1478,1556,1482,1569,23953,1559,1595,1669,1718,1768,1702,1609,1651,1687,1651,1587,1526,1449,1411,1626,1524,1435,1630,1631,1738,32166,67194,1891,2006,1589,1574,1504,1514,1426,1268,1249,1248,15269,1186,1175,1174,1114,1013,979,923,831,850,770,10015,701,657,573,486,421,1637,4475,29759,115912
,,,Denbighshire ,1041,1021,1174,1110,1075,5421,1139,1039,1052,1030,970,963,1026,1041,1007,1146,1162,11575,16996,1154,1215,1118,1072,996,1033,1118,1126,1127,9959,1050,1062,935,890,952,892,865,855,965,913,828,892,988,1040,1036,1066,1270,1201,1217,1343,20260,1266,1389,1338,1404,1448,1426,1423,1324,1337,1256,1209,1193,1182,1214,1173,1210,1237,1307,1347,1425,26108,56327,1541,1578,1211,1174,1269,1145,967,1021,940,911,11757,889,853,791,701,664,638,632,587,545,475,6775,432,397,306,263,286,979,2663,21195,94518
,,,Flintshire ,1689,1701,1853,1930,1800,8973,1946,1876,1724,1805,1683,1595,1674,1727,1726,1852,1829,19437,28410,1917,1892,1933,1624,1472,1702,1826,1853,1840,16059,1931,1904,1775,1739,1658,1692,1793,1718,1823,1679,1656,1649,1670,1770,1796,2028,2236,2316,2325,2368,37526,2286,2335,2276,2433,2450,2267,2242,2209,2086,2041,1923,1877,1831,1831,1879,1916,1864,2030,2012,2104,41892,95477,2263,2472,1793,1743,1782,1587,1479,1370,1343,1309,17141,1310,1163,1046,971,892,816,802,718,667,623,9008,512,440,383,356,308,1188,3187,29336,153223
