Hospital Provider,Finished Consultant Episodes,Admissions,Male,Female,Emergency,Waiting List,Mean Waiting Time,Median Waiting Time,Mean Length of Stay,Median Length of Stay,Mean Age,Age 0-14,Age 15-59,Age 60-74,Age 75+,Inpatient,Daycase,Beddays
Total (All Welsh Trusts),730634,631703,320843,409761,336693,148480,127,74,8.3,2,52,77831,314059,154492,184242,610570,111075,4216002
RVD - Bro Morgannwg NHS Trust,57775,48407,25882,31893,25542,14052,102,62,10.1,2,56,4110,22868,13382,17415,46923,10828,345571
RWM - Cardiff & Vale NHS Trust,117304,104955,51301,65994,47219,21076,180,112,7.5,2,45,19804,54402,21195,21903,96669,20635,633139
RVA - Carmarthenshire NHS Trust ,44392,39049,19933,24459,19074,14190,97,57,7.1,2,56,3152,18159,10649,12432,34155,10237,204207
RKU - Ceredigion and Mid Wales NHS Trust,12577,10833,5520,7057,6206,2457,104,57,6.8,3,55,1312,4622,2775,3868,10870,1707,61554
RT8 - Conwy and Denbighshire NHS Trust,65830,49384,29645,36174,25643,12703,97,50,7.0,2,56,5700,24473,15204,20453,55189,10641,274518
RVF - Gwent Healthcare NHS Trust ,119987,106104,51369,68614,63187,25277,149,81,9.2,3,53,10500,53504,24819,31163,92343,18799,670110
RT9 - North East Wales NHS Trust,46620,37650,20237,26380,21415,9994,121,75,8.6,2,53,4275,19892,9830,12622,41331,5289,280119
RRS - North Glamorgan NHS Trust,37809,34381,16708,21101,23450,6047,127,86,7.1,2,48,5589,16536,7037,8647,33812,3995,213676
RT7 - North West Wales NHS Trust,52359,41934,24072,28285,24128,5596,103,70,12.0,3,55,4855,20729,11554,15221,45018,7337,475942
RR6 - Pembrokeshire and Derwen NHS Trust,22177,19741,9328,12849,13211,3763,162,103,9.9,2,51,2237,10009,4504,5427,20032,2031,175574
RVE - Pontypridd and Rhondda NHS Trust,46547,39407,19293,27254,19109,11057,99,54,7.9,2,51,5065,20343,9405,11734,40280,6267,255840
6C4 - Powys LHB,5565,5396,2279,3286,1619,1291,74,56,27.2,11,69,1,1549,1122,2893,4455,1110,105325
RVC - Swansea NHS Trust,99222,91992,44155,55066,45501,20977,125,78,6.4,2,49,11231,45883,22019,20081,87244,11978,501962
RQF - Velindre NHS Trust,2470,2470,1121,1349,1389,?,?,?,8.2,5,60,?,1090,997,383,2249,221,18465
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
