,,,,All ages ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All ages 
,,,,Aged 0 to 15 ,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Aged 0 to 15 ,Aged 16 to 64 ,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Aged 16 to 64 ,Aged 65 and over ,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Aged 65 and over ,.
,,,,Aged 0 to 4 ,.,.,.,.,Aged 0 to 4 ,Aged 5 to 15 ,.,.,.,.,.,.,.,.,.,.,Aged 5 to 15 ,.,Aged 16 to 24 ,.,.,.,.,.,.,.,.,Aged 16 to 24 ,Aged 25 to 44 ,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Aged 25 to 44 ,Aged 45 to 64 ,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Aged 45 to 64 ,.,Aged 65 to 74 ,.,.,.,.,.,.,.,.,.,Aged 65 to 74 ,Aged 75 to 84 ,.,.,.,.,.,.,.,.,.,Aged 75 to 84 ,Aged 85 and over ,.,.,.,.,.,Aged 85 and over ,.,.
,,,,Aged 0 ,Aged 1 ,Aged 2 ,Aged 3 ,Aged 4 ,.,Aged 5 ,Aged 6 ,Aged 7 ,Aged 8 ,Aged 9 ,Aged 10 ,Aged 11 ,Aged 12 ,Aged 13 ,Aged 14 ,Aged 15 ,.,.,Aged 16 ,Aged 17 ,Aged 18 ,Aged 19 ,Aged 20 ,Aged 21 ,Aged 22 ,Aged 23 ,Aged 24 ,.,Aged 25 ,Aged 26 ,Aged 27 ,Aged 28 ,Aged 29 ,Aged 30 ,Aged 31 ,Aged 32 ,Aged 33 ,Aged 34 ,Aged 35 ,Aged 36 ,Aged 37 ,Aged 38 ,Aged 39 ,Aged 40 ,Aged 41 ,Aged 42 ,Aged 43 ,Aged 44 ,.,Aged 45 ,Aged 46 ,Aged 47 ,Aged 48 ,Aged 49 ,Aged 50 ,Aged 51 ,Aged 52 ,Aged 53 ,Aged 54 ,Aged 55 ,Aged 56 ,Aged 57 ,Aged 58 ,Aged 59 ,Aged 60 ,Aged 61 ,Aged 62 ,Aged 63 ,Aged 64 ,.,.,Aged 65 ,Aged 66 ,Aged 67 ,Aged 68 ,Aged 69 ,Aged 70 ,Aged 71 ,Aged 72 ,Aged 73 ,Aged 74 ,.,Aged 75 ,Aged 76 ,Aged 77 ,Aged 78 ,Aged 79 ,Aged 80 ,Aged 81 ,Aged 82 ,Aged 83 ,Aged 84 ,.,Aged 85 ,Aged 86 ,Aged 87 ,Aged 88 ,Aged 89 ,Aged 90 and over ,.,.,.
United Kingdom ,Great Britain ,Wales ,,33630,34699,36053,36977,36316,177675,35880,36625,35293,34857,33669,32768,32176,32175,33498,34474,35751,377166,554841,36508,38260,37735,40193,43816,43980,43934,44050,41798,370274,40521,39262,37818,37325,37175,35887,36285,35873,36847,37180,35197,32509,32715,33037,34289,35387,37591,40261,42263,41054,738476,43077,42558,43741,43599,44838,45006,43727,43564,42390,40971,40423,39721,38804,37268,36478,37654,37579,36728,37164,38408,813698,1922448,39388,41725,44101,33963,33656,33405,31439,28833,26204,25734,338448,25203,24403,22708,21716,20579,18969,17919,16556,15336,14044,197433,12412,11081,10013,8844,7691,28825,78866,614747,3092036
,,Wales ,Isle of Anglesey ,761,810,804,838,809,4022,795,809,730,736,671,721,696,680,704,747,749,8038,12060,756,815,750,650,593,649,729,803,864,6609,793,792,781,713,706,714,726,726,723,763,727,673,606,693,686,741,875,839,989,885,15151,970,921,941,947,985,994,976,931,997,1008,994,950,918,993,932,987,921,942,990,1057,19354,41114,1081,1118,1232,933,1003,977,904,768,695,716,9427,749,705,610,576,555,497,466,422,408,372,5360,344,299,320,216,186,815,2180,16967,70141
,,,Gwynedd ,1218,1275,1394,1318,1374,6579,1389,1350,1412,1415,1269,1191,1201,1258,1263,1316,1252,14316,20895,1347,1426,1376,2202,2504,2346,2008,1878,1716,16803,1569,1363,1364,1223,1212,1127,1232,1256,1235,1278,1180,1064,1109,1133,1211,1310,1481,1466,1548,1540,25901,1513,1530,1597,1636,1655,1640,1649,1606,1646,1532,1554,1591,1541,1486,1395,1474,1475,1493,1472,1534,31019,73723,1738,1750,1872,1563,1417,1520,1404,1258,1066,1075,14663,1082,1036,1004,907,879,879,816,775,735,662,8775,601,554,480,428,380,1398,3841,27279,121897
,,,Conwy ,1088,1163,1200,1192,1226,5869,1213,1180,1189,1205,1137,1174,1087,1096,1196,1294,1298,13069,18938,1335,1453,1338,1114,1036,1032,1149,1242,1230,10929,1249,1257,1182,1115,1096,1116,1049,1121,1155,1162,1110,1024,1049,1093,1096,1133,1255,1494,1570,1485,23811,1578,1571,1602,1709,1734,1769,1722,1628,1669,1693,1687,1587,1561,1462,1418,1636,1545,1459,1612,1651,32293,67033,1758,1914,2027,1595,1565,1485,1503,1427,1259,1223,15756,1237,1154,1126,1128,1081,983,936,874,789,791,10099,705,628,590,498,432,1741,4594,30449,116420
,,,Denbighshire ,1069,1060,1032,1190,1132,5483,1073,1157,1069,1062,1049,974,992,1034,1053,1030,1164,11657,17140,1161,1153,1172,903,1026,989,1083,1122,1119,9728,1122,1041,1034,966,878,921,883,851,859,978,938,841,891,1008,1050,1063,1060,1272,1226,1239,20121,1355,1289,1391,1341,1390,1453,1432,1404,1317,1349,1269,1225,1204,1195,1215,1207,1200,1230,1309,1354,26129,55978,1425,1544,1565,1199,1168,1244,1121,951,1010,909,12136,885,866,833,768,673,639,601,598,547,517,6927,434,390,356,267,229,980,2656,21719,94837
,,,Flintshire ,1653,1703,1736,1865,1939,8896,1813,1967,1902,1733,1800,1684,1609,1701,1730,1725,1860,19524,28420,1820,1917,1827,1667,1562,1527,1806,1955,1838,15919,1868,1947,1923,1789,1774,1641,1723,1781,1757,1825,1653,1672,1664,1669,1763,1806,2050,2245,2330,2322,37202,2374,2280,2312,2273,2429,2437,2244,2238,2200,2065,2064,1922,1882,1824,1811,1872,1896,1853,2009,1992,41977,95098,2080,2222,2437,1761,1711,1759,1568,1440,1344,1312,17634,1280,1256,1116,997,949,849,785,775,672,616,9295,576,482,410,355,320,1229,3372,30301,153819
