,,,,All ages ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All ages 
,,,,Aged 0 to 15 ,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Aged 0 to 15 ,Aged 16 to 64 ,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Aged 16 to 64 ,Aged 65 and over ,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Aged 65 and over ,.
,,,,Aged 0 to 4 ,.,.,.,.,Aged 0 to 4 ,Aged 5 to 15 ,.,.,.,.,.,.,.,.,.,.,Aged 5 to 15 ,.,Aged 16 to 24 ,.,.,.,.,.,.,.,.,Aged 16 to 24 ,Aged 25 to 44 ,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Aged 25 to 44 ,Aged 45 to 64 ,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Aged 45 to 64 ,.,Aged 65 to 74 ,.,.,.,.,.,.,.,.,.,Aged 65 to 74 ,Aged 75 to 84 ,.,.,.,.,.,.,.,.,.,Aged 75 to 84 ,Aged 85 and over ,.,.,.,.,.,Aged 85 and over ,.,.
,,,,Aged 0 ,Aged 1 ,Aged 2 ,Aged 3 ,Aged 4 ,.,Aged 5 ,Aged 6 ,Aged 7 ,Aged 8 ,Aged 9 ,Aged 10 ,Aged 11 ,Aged 12 ,Aged 13 ,Aged 14 ,Aged 15 ,.,.,Aged 16 ,Aged 17 ,Aged 18 ,Aged 19 ,Aged 20 ,Aged 21 ,Aged 22 ,Aged 23 ,Aged 24 ,.,Aged 25 ,Aged 26 ,Aged 27 ,Aged 28 ,Aged 29 ,Aged 30 ,Aged 31 ,Aged 32 ,Aged 33 ,Aged 34 ,Aged 35 ,Aged 36 ,Aged 37 ,Aged 38 ,Aged 39 ,Aged 40 ,Aged 41 ,Aged 42 ,Aged 43 ,Aged 44 ,.,Aged 45 ,Aged 46 ,Aged 47 ,Aged 48 ,Aged 49 ,Aged 50 ,Aged 51 ,Aged 52 ,Aged 53 ,Aged 54 ,Aged 55 ,Aged 56 ,Aged 57 ,Aged 58 ,Aged 59 ,Aged 60 ,Aged 61 ,Aged 62 ,Aged 63 ,Aged 64 ,.,.,Aged 65 ,Aged 66 ,Aged 67 ,Aged 68 ,Aged 69 ,Aged 70 ,Aged 71 ,Aged 72 ,Aged 73 ,Aged 74 ,.,Aged 75 ,Aged 76 ,Aged 77 ,Aged 78 ,Aged 79 ,Aged 80 ,Aged 81 ,Aged 82 ,Aged 83 ,Aged 84 ,.,Aged 85 ,Aged 86 ,Aged 87 ,Aged 88 ,Aged 89 ,Aged 90 and over ,.,.,.
United Kingdom ,Great Britain ,Wales ,,31592,32064,33311,34452,35745,167164,35685,35837,36771,37685,39201,39600,38841,39398,39524,38977,38149,419668,586832,38878,36696,35960,35854,37912,37896,34073,30413,30018,317700,30332,31209,32411,34722,37412,38830,38623,40107,40162,41225,41996,42972,43141,42538,42053,41040,39407,39176,38889,38122,774367,36817,36251,37424,37474,37094,37981,39699,40730,43827,45163,37229,37002,36456,35602,32941,31103,31045,30927,30628,29899,725292,1817359,29114,28557,27378,27059,26660,26678,26057,25040,23801,24040,264384,23908,22828,21694,20640,20670,19889,18260,13563,10955,10598,183005,9714,9070,7946,6665,5647,19610,58652,506041,2910232
,,Wales ,Isle of Anglesey ,713,727,729,702,782,3653,781,844,853,851,918,874,868,918,911,914,834,9566,13219,877,850,743,660,663,710,657,652,656,6468,631,643,642,801,829,852,798,841,842,877,865,895,899,908,900,903,901,861,860,882,16630,898,875,910,876,891,934,997,1053,1085,1149,993,1032,939,979,920,852,821,831,839,803,18677,41775,785,734,728,713,659,647,650,669,657,628,6870,584,533,513,491,484,457,429,346,284,275,4396,247,230,202,178,166,523,1546,12812,67806
,,,Gwynedd ,1399,1342,1299,1380,1416,6836,1374,1416,1462,1486,1512,1447,1400,1447,1479,1380,1364,15767,22603,1383,1360,1455,1732,1933,1849,1515,1212,1182,13621,1149,1205,1303,1401,1444,1451,1468,1429,1403,1433,1494,1566,1569,1497,1506,1529,1452,1451,1457,1388,28595,1434,1391,1441,1460,1397,1384,1544,1689,1812,1855,1586,1535,1620,1531,1437,1318,1346,1370,1337,1313,29800,72016,1246,1220,1199,1172,1185,1185,1164,1161,1056,1076,11664,1028,970,914,861,920,862,767,534,446,490,7792,444,405,370,334,272,944,2769,22225,116844
,,,Conwy ,1040,1070,1157,1185,1228,5680,1209,1215,1191,1262,1362,1428,1395,1396,1349,1366,1348,14521,20201,1428,1304,1155,872,929,998,970,906,989,9551,912,955,1011,1083,1196,1298,1314,1396,1378,1396,1471,1469,1542,1510,1447,1438,1501,1404,1374,1326,26421,1306,1285,1372,1315,1308,1403,1402,1501,1619,1798,1463,1442,1417,1508,1319,1347,1369,1302,1316,1364,28156,64128,1338,1339,1298,1303,1229,1274,1267,1227,1182,1165,12622,1157,1112,1028,1040,1062,1025,894,627,566,564,9075,554,511,448,411,340,1384,3648,25345,109674
,,,Denbighshire ,922,998,1053,1092,1043,5108,1077,1047,1167,1211,1238,1191,1287,1228,1214,1278,1236,13174,18282,1223,1154,1032,838,838,902,887,890,939,8703,877,948,883,977,1114,1114,1126,1202,1194,1234,1275,1296,1339,1394,1329,1256,1182,1178,1135,1160,23213,1117,1139,1174,1204,1231,1283,1309,1374,1472,1525,1188,1212,1185,1180,1117,1064,1067,1050,1092,1058,24041,55957,1017,977,895,902,925,944,933,900,862,884,9239,828,827,828,801,803,748,701,539,450,436,6961,409,376,358,302,259,927,2631,18831,93070
,,,Flintshire ,1649,1691,1850,1823,1877,8890,1860,1902,1871,1891,2035,2079,2010,1981,2059,1961,1955,21604,30494,2048,1891,1797,1535,1532,1612,1540,1556,1583,15094,1587,1676,1706,1904,2093,2189,2197,2295,2283,2263,2317,2455,2460,2358,2333,2239,2114,2062,1992,2010,42533,1888,1828,1967,1934,1916,2067,2112,2200,2380,2555,2002,1942,1958,1821,1716,1679,1593,1621,1613,1513,38305,95932,1388,1350,1256,1230,1196,1190,1151,1189,1091,1011,12052,1015,925,900,839,836,811,792,557,476,436,7587,424,389,347,314,234,856,2564,22203,148629
