,,,,All ages ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All ages 
,,,,Aged 0 to 15 ,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Aged 0 to 15 ,Aged 16 to 64 ,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Aged 16 to 64 ,Aged 65 and over ,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Aged 65 and over ,.
,,,,Aged 0 to 4 ,.,.,.,.,Aged 0 to 4 ,Aged 5 to 15 ,.,.,.,.,.,.,.,.,.,.,Aged 5 to 15 ,.,Aged 16 to 24 ,.,.,.,.,.,.,.,.,Aged 16 to 24 ,Aged 25 to 44 ,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Aged 25 to 44 ,Aged 45 to 64 ,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Aged 45 to 64 ,.,Aged 65 to 74 ,.,.,.,.,.,.,.,.,.,Aged 65 to 74 ,Aged 75 to 84 ,.,.,.,.,.,.,.,.,.,Aged 75 to 84 ,Aged 85 and over ,.,.,.,.,.,Aged 85 and over ,.,.
,,,,Aged 0 ,Aged 1 ,Aged 2 ,Aged 3 ,Aged 4 ,.,Aged 5 ,Aged 6 ,Aged 7 ,Aged 8 ,Aged 9 ,Aged 10 ,Aged 11 ,Aged 12 ,Aged 13 ,Aged 14 ,Aged 15 ,.,.,Aged 16 ,Aged 17 ,Aged 18 ,Aged 19 ,Aged 20 ,Aged 21 ,Aged 22 ,Aged 23 ,Aged 24 ,.,Aged 25 ,Aged 26 ,Aged 27 ,Aged 28 ,Aged 29 ,Aged 30 ,Aged 31 ,Aged 32 ,Aged 33 ,Aged 34 ,Aged 35 ,Aged 36 ,Aged 37 ,Aged 38 ,Aged 39 ,Aged 40 ,Aged 41 ,Aged 42 ,Aged 43 ,Aged 44 ,.,Aged 45 ,Aged 46 ,Aged 47 ,Aged 48 ,Aged 49 ,Aged 50 ,Aged 51 ,Aged 52 ,Aged 53 ,Aged 54 ,Aged 55 ,Aged 56 ,Aged 57 ,Aged 58 ,Aged 59 ,Aged 60 ,Aged 61 ,Aged 62 ,Aged 63 ,Aged 64 ,.,.,Aged 65 ,Aged 66 ,Aged 67 ,Aged 68 ,Aged 69 ,Aged 70 ,Aged 71 ,Aged 72 ,Aged 73 ,Aged 74 ,.,Aged 75 ,Aged 76 ,Aged 77 ,Aged 78 ,Aged 79 ,Aged 80 ,Aged 81 ,Aged 82 ,Aged 83 ,Aged 84 ,.,Aged 85 ,Aged 86 ,Aged 87 ,Aged 88 ,Aged 89 ,Aged 90 and over ,.,.,.
United Kingdom ,Great Britain ,Wales ,,31963,32902,34281,34580,34977,168703,35802,37069,37779,37145,36659,37329,35973,35585,34346,33430,32889,394006,562709,32803,34273,35480,38775,40862,41670,40747,39937,42090,346637,41417,41821,42434,40636,40040,39081,37760,37658,37715,36219,36588,36198,37650,37507,35475,32904,32958,33275,34532,35702,747570,38005,40607,42754,41436,43353,42933,44024,43991,45351,45381,44089,43922,42544,41081,40599,39969,38869,37245,36275,37294,829722,1923929,37050,35945,36198,37094,37896,39823,41866,31750,31237,30676,359535,28623,25921,23232,22509,21714,20577,18976,17656,16203,14629,210040,13379,11828,10588,9238,7702,29683,82418,651993,3138631
,,Wales ,Isle of Anglesey ,687,704,732,691,786,3600,824,810,819,795,803,820,752,754,677,712,689,8455,12055,688,697,708,575,535,620,644,673,694,5834,703,745,797,836,781,728,745,683,684,707,678,725,728,770,745,689,629,677,686,757,14493,897,832,1006,866,966,930,991,979,1014,1013,1047,961,1048,1059,1046,988,980,1004,943,1017,19587,39914,933,969,982,1029,1087,1104,1173,887,925,904,9993,816,689,611,622,640,600,497,462,434,371,5742,342,330,270,232,198,885,2257,17992,69961
,,,Gwynedd ,1134,1136,1245,1181,1284,5980,1292,1411,1365,1400,1436,1387,1423,1450,1287,1202,1218,14871,20851,1276,1294,1443,1965,2384,2460,2024,1890,2001,16737,1880,1653,1679,1609,1552,1338,1355,1256,1249,1130,1201,1269,1262,1268,1216,1105,1074,1120,1192,1350,26758,1457,1477,1550,1551,1534,1583,1616,1660,1699,1676,1702,1696,1690,1571,1587,1624,1583,1516,1407,1482,31661,75156,1507,1477,1468,1509,1629,1660,1757,1430,1319,1359,15115,1291,1118,931,947,931,849,831,716,691,694,8999,614,572,557,463,385,1466,4057,28171,124178
,,,Conwy ,1042,1043,1095,1159,1128,5467,1208,1260,1281,1278,1261,1245,1220,1250,1204,1215,1120,13542,19009,1149,1245,1274,931,890,980,1070,1102,1104,9745,1121,1177,1219,1199,1212,1285,1162,1055,1084,1125,1132,1169,1231,1193,1135,1061,1066,1106,1149,1164,23045,1341,1545,1625,1551,1648,1605,1660,1780,1833,1831,1779,1728,1711,1765,1785,1657,1626,1562,1484,1712,33228,66018,1616,1537,1651,1684,1784,1939,2012,1531,1477,1417,16648,1379,1325,1148,1086,1094,998,947,938,856,802,10573,741,631,574,567,475,1945,4933,32154,117181
,,,Denbighshire ,941,1001,1002,1050,1100,5094,1098,1075,1181,1152,1117,1208,1100,1109,1077,1020,1040,12177,17271,1046,1096,979,845,809,815,941,912,1127,8570,1104,1099,1165,1091,1114,1005,1007,979,879,920,865,889,907,1011,972,846,898,1017,1107,1077,19952,1082,1291,1252,1285,1385,1346,1436,1386,1418,1513,1438,1442,1371,1394,1280,1267,1264,1236,1266,1226,26578,55100,1221,1228,1281,1340,1417,1479,1502,1151,1082,1152,12853,1039,867,910,809,741,739,694,622,521,485,7427,454,401,374,313,263,874,2679,22959,95330
,,,Flintshire ,1581,1644,1679,1639,1746,8289,1786,1859,1895,2012,1878,2011,1970,1812,1849,1741,1643,20456,28745,1701,1751,1682,1528,1355,1429,1552,1727,1684,14409,1712,1887,2061,1864,1954,1976,1962,1800,1929,1782,1805,1791,1849,1845,1728,1724,1688,1707,1805,1839,36708,2051,2279,2397,2332,2355,2255,2295,2304,2439,2419,2223,2232,2190,2031,2079,1913,1891,1816,1757,1821,43079,94196,1843,1801,1947,1909,1960,2109,2286,1610,1589,1602,18656,1436,1300,1188,1128,1113,1051,971,802,754,650,10393,557,565,446,409,365,1261,3603,32652,155593
